row_id,topic,small_step,age,year,term,difficulty,comparator_type,input_query,scoring_context_desc,combined_rank,video_id,title,semantic_score,instruction_score,combined_score,instruction_justification,notes
1,Mass and capacity,Use scales,7-8,Year 3,Spring,,Manual,"Practice and familiarization with scales of weight measurement, in kilograms and grams, practice and experience decomposing kilograms into grams and converting grams into kilograms using measurement marks on measuring jugs like number lines.","In Year 2, children began using grams and kilograms when exploring mass. In this block, children continue to explore mass in kilograms and grams before moving on to capacity. An essential skill in this block is for children to be able to use and understand scales. This small step provides opportunity for children to become more familiar with using scales to read measurements. The focus is on dividing 100 into 2/4/5/10 equal parts using number lines, before applying this skill in various contexts later in the block. By working out what the interval gaps are on a number line, children become more experienced at reading scales in the context of measurement. They learn what size groups are made when 100 is split into equal parts, then extend this learning to other multiples of 100",1,Nek4OfX8zKE,"Metric Mass Measurements - How To Measure and Convert Grams, Kilograms, and Tons",0.7563,75.0,0.7538,"The transcript effectively introduces key concepts of mass and units (grams, kilograms, milligrams) with relatable examples, aligning well with the curriculum objective. However, the explanation introduces multiple concepts (weight vs. mass, conversion methods) which may overwhelm younger learners, and the complexity of language could be simplified further for better understanding. Engagement prompts are present but could be more frequent to maintain attention.",baseline example
1,Mass and capacity,Use scales,7-8,Year 3,Spring,,Manual,"Practice and familiarization with scales of weight measurement, in kilograms and grams, practice and experience decomposing kilograms into grams and converting grams into kilograms using measurement marks on measuring jugs like number lines.","In Year 2, children began using grams and kilograms when exploring mass. In this block, children continue to explore mass in kilograms and grams before moving on to capacity. An essential skill in this block is for children to be able to use and understand scales. This small step provides opportunity for children to become more familiar with using scales to read measurements. The focus is on dividing 100 into 2/4/5/10 equal parts using number lines, before applying this skill in various contexts later in the block. By working out what the interval gaps are on a number line, children become more experienced at reading scales in the context of measurement. They learn what size groups are made when 100 is split into equal parts, then extend this learning to other multiples of 100",2,NaHjhWmTmXI,Maths - What is weight? (Primary School Maths Lesson),0.7557,75.0,0.7534,"The transcript effectively introduces the concept of weight and the units of grams and kilograms, aligning well with the curriculum objective. It uses engaging prompts for learners to pause and think, and includes relatable examples to illustrate the differences between the two units. However, the explanation could benefit from clearer definitions and visual aids to enhance understanding for younger learners.",baseline example
1,Mass and capacity,Use scales,7-8,Year 3,Spring,,Manual,"Practice and familiarization with scales of weight measurement, in kilograms and grams, practice and experience decomposing kilograms into grams and converting grams into kilograms using measurement marks on measuring jugs like number lines.","In Year 2, children began using grams and kilograms when exploring mass. In this block, children continue to explore mass in kilograms and grams before moving on to capacity. An essential skill in this block is for children to be able to use and understand scales. This small step provides opportunity for children to become more familiar with using scales to read measurements. The focus is on dividing 100 into 2/4/5/10 equal parts using number lines, before applying this skill in various contexts later in the block. By working out what the interval gaps are on a number line, children become more experienced at reading scales in the context of measurement. They learn what size groups are made when 100 is split into equal parts, then extend this learning to other multiples of 100",3,hR1XW_RUpyw,(MATH) How to Measure Mass in Grams and Kilograms? | #iQuestionPH,0.7132,55.0,0.6479,"The transcript provides a basic explanation of mass and the relationship between grams and kilograms, but it lacks a focused approach to the specific curriculum objective of using scales. The language is somewhat complex for 7-8 year olds, and while there are examples, they do not effectively engage students or include clear definitions of new terms. Additionally, the explanation of converting between grams and kilograms could be simplified and illustrated with visual aids to enhance understanding.",baseline example
1,Mass and capacity,Use scales,7-8,Year 3,Spring,,Original,"In Year 2, children began using grams and kilograms when exploring mass. In this block, children continue to explore mass in kilograms and grams before moving on to capacity. An essential skill in this block is for children to be able to use and understand scales. This small step provides opportunity for children to become more familiar with using scales to read measurements. The focus is on dividing 100 into 2/4/5/10 equal parts using number lines, before applying this skill in various contexts later in the block. By working out what the interval gaps are on a number line, children become more experienced at reading scales in the context of measurement. They learn what size groups are made when 100 is split into equal parts, then extend this learning to other multiples of 100","In Year 2, children began using grams and kilograms when exploring mass. In this block, children continue to explore mass in kilograms and grams before moving on to capacity. An essential skill in this block is for children to be able to use and understand scales. This small step provides opportunity for children to become more familiar with using scales to read measurements. The focus is on dividing 100 into 2/4/5/10 equal parts using number lines, before applying this skill in various contexts later in the block. By working out what the interval gaps are on a number line, children become more experienced at reading scales in the context of measurement. They learn what size groups are made when 100 is split into equal parts, then extend this learning to other multiples of 100",1,SdmfsBgR2lI,Reception Numeracy - Lesson 36 - Comparing capacity - holds more/holds less,0.6508,85.0,0.7305,"The transcript effectively introduces the concept of capacity through relatable examples and engaging activities, such as estimating how many corks fit in a jug and packing a lunchbox. The language is age-appropriate, and the use of prompts encourages student engagement. However, while it covers the concept well, it could benefit from more explicit definitions of terms like 'capacity' and a clearer focus on the core concept throughout.",baseline example
1,Mass and capacity,Use scales,7-8,Year 3,Spring,,Original,"In Year 2, children began using grams and kilograms when exploring mass. In this block, children continue to explore mass in kilograms and grams before moving on to capacity. An essential skill in this block is for children to be able to use and understand scales. This small step provides opportunity for children to become more familiar with using scales to read measurements. The focus is on dividing 100 into 2/4/5/10 equal parts using number lines, before applying this skill in various contexts later in the block. By working out what the interval gaps are on a number line, children become more experienced at reading scales in the context of measurement. They learn what size groups are made when 100 is split into equal parts, then extend this learning to other multiples of 100","In Year 2, children began using grams and kilograms when exploring mass. In this block, children continue to explore mass in kilograms and grams before moving on to capacity. An essential skill in this block is for children to be able to use and understand scales. This small step provides opportunity for children to become more familiar with using scales to read measurements. The focus is on dividing 100 into 2/4/5/10 equal parts using number lines, before applying this skill in various contexts later in the block. By working out what the interval gaps are on a number line, children become more experienced at reading scales in the context of measurement. They learn what size groups are made when 100 is split into equal parts, then extend this learning to other multiples of 100",2,Nek4OfX8zKE,"Metric Mass Measurements - How To Measure and Convert Grams, Kilograms, and Tons",0.6245,75.0,0.6747,"The transcript effectively introduces key concepts of mass and units (grams, kilograms, milligrams) with relatable examples, aligning well with the curriculum objective. However, the explanation introduces multiple concepts (weight vs. mass, conversion methods) which may overwhelm younger learners, and the complexity of language could be simplified further for better understanding. Engagement prompts are present but could be more frequent to maintain attention.",baseline example
1,Mass and capacity,Use scales,7-8,Year 3,Spring,,Original,"In Year 2, children began using grams and kilograms when exploring mass. In this block, children continue to explore mass in kilograms and grams before moving on to capacity. An essential skill in this block is for children to be able to use and understand scales. This small step provides opportunity for children to become more familiar with using scales to read measurements. The focus is on dividing 100 into 2/4/5/10 equal parts using number lines, before applying this skill in various contexts later in the block. By working out what the interval gaps are on a number line, children become more experienced at reading scales in the context of measurement. They learn what size groups are made when 100 is split into equal parts, then extend this learning to other multiples of 100","In Year 2, children began using grams and kilograms when exploring mass. In this block, children continue to explore mass in kilograms and grams before moving on to capacity. An essential skill in this block is for children to be able to use and understand scales. This small step provides opportunity for children to become more familiar with using scales to read measurements. The focus is on dividing 100 into 2/4/5/10 equal parts using number lines, before applying this skill in various contexts later in the block. By working out what the interval gaps are on a number line, children become more experienced at reading scales in the context of measurement. They learn what size groups are made when 100 is split into equal parts, then extend this learning to other multiples of 100",3,J1Q5kqRKfqQ,Measuring Mass 3   Measuring Mass Using Non Standard Units,0.6535,70.0,0.6721,"The transcript provides a clear and focused explanation of measuring mass using a pan scale with blocks as units, which is appropriate for the age group. However, while it includes some examples and encourages estimation, the language could be simplified further, and the introduction of terms like 'balance scale' could be better defined. Additionally, more visual aids or diagrams would enhance understanding for young learners.",baseline example
1,Mass and capacity,Use scales,7-8,Year 3,Spring,,Short,"In Year 2, students progress from using grams and kilograms to explore mass, to understanding capacity. They learn to use scales and read measurements, focusing on dividing 100 into equal parts using number lines. This skill is applied in various contexts, enhancing their ability to read scales and comprehend equal partitioning of multiples of 100.","In Year 2, children began using grams and kilograms when exploring mass. In this block, children continue to explore mass in kilograms and grams before moving on to capacity. An essential skill in this block is for children to be able to use and understand scales. This small step provides opportunity for children to become more familiar with using scales to read measurements. The focus is on dividing 100 into 2/4/5/10 equal parts using number lines, before applying this skill in various contexts later in the block. By working out what the interval gaps are on a number line, children become more experienced at reading scales in the context of measurement. They learn what size groups are made when 100 is split into equal parts, then extend this learning to other multiples of 100",1,SdmfsBgR2lI,Reception Numeracy - Lesson 36 - Comparing capacity - holds more/holds less,0.7122,85.0,0.7673,"The transcript effectively introduces the concept of capacity through relatable examples and engaging activities, such as estimating how many corks fit in a jug and packing a lunchbox. The language is age-appropriate, and the use of prompts encourages student engagement. However, while it covers the concept well, it could benefit from more explicit definitions of terms like 'capacity' and a clearer focus on the core concept throughout.",baseline example
1,Mass and capacity,Use scales,7-8,Year 3,Spring,,Short,"In Year 2, students progress from using grams and kilograms to explore mass, to understanding capacity. They learn to use scales and read measurements, focusing on dividing 100 into equal parts using number lines. This skill is applied in various contexts, enhancing their ability to read scales and comprehend equal partitioning of multiples of 100.","In Year 2, children began using grams and kilograms when exploring mass. In this block, children continue to explore mass in kilograms and grams before moving on to capacity. An essential skill in this block is for children to be able to use and understand scales. This small step provides opportunity for children to become more familiar with using scales to read measurements. The focus is on dividing 100 into 2/4/5/10 equal parts using number lines, before applying this skill in various contexts later in the block. By working out what the interval gaps are on a number line, children become more experienced at reading scales in the context of measurement. They learn what size groups are made when 100 is split into equal parts, then extend this learning to other multiples of 100",2,yxnJh4Jbclo,Measuring capacity - millilitres and litres.,0.6926,65.0,0.6756,"The transcript covers the concept of capacity and measurement using relatable examples, which aligns with the curriculum objective. However, it introduces multiple concepts (capacity, milliliters, liters) without a clear focus on a single concept, making it potentially overwhelming for 7-8 year olds. The language is somewhat complex, and while there are some engagement prompts, they could be more frequent and interactive to maintain student interest.",baseline example
1,Mass and capacity,Use scales,7-8,Year 3,Spring,,Short,"In Year 2, students progress from using grams and kilograms to explore mass, to understanding capacity. They learn to use scales and read measurements, focusing on dividing 100 into equal parts using number lines. This skill is applied in various contexts, enhancing their ability to read scales and comprehend equal partitioning of multiples of 100.","In Year 2, children began using grams and kilograms when exploring mass. In this block, children continue to explore mass in kilograms and grams before moving on to capacity. An essential skill in this block is for children to be able to use and understand scales. This small step provides opportunity for children to become more familiar with using scales to read measurements. The focus is on dividing 100 into 2/4/5/10 equal parts using number lines, before applying this skill in various contexts later in the block. By working out what the interval gaps are on a number line, children become more experienced at reading scales in the context of measurement. They learn what size groups are made when 100 is split into equal parts, then extend this learning to other multiples of 100",3,u8UfUS6--AE,Measure Capacity in Liters,0.652,65.0,0.6512,"The transcript introduces the concept of capacity using relatable examples, such as water bottles and cups, which aligns with the curriculum objective. However, it lacks a clear focus on scales and measurement in grams and kilograms, which is essential for the target age group. Additionally, while it engages students with prompts to guess and explore, the language could be simplified further to ensure clarity for 7-8 year-olds.",baseline example
1,Mass and capacity,Use scales,7-8,Year 3,Spring,,Hybrid,"Children use and understand reading scales to take measurements. The focus is on reading scales calibrated in intervals of 100, 50, 25, 20 and 10. By working out interval gaps, children become more experienced at reading scales in weight measurement and extend this to multiples of 100","In Year 2, children began using grams and kilograms when exploring mass. In this block, children continue to explore mass in kilograms and grams before moving on to capacity. An essential skill in this block is for children to be able to use and understand scales. This small step provides opportunity for children to become more familiar with using scales to read measurements. The focus is on dividing 100 into 2/4/5/10 equal parts using number lines, before applying this skill in various contexts later in the block. By working out what the interval gaps are on a number line, children become more experienced at reading scales in the context of measurement. They learn what size groups are made when 100 is split into equal parts, then extend this learning to other multiples of 100",1,H-y3wWqI418,"Metric Measurement Conversions - How To Convert Grams, Liters, and Meters",0.5584,75.0,0.6351,"The transcript effectively introduces the concept of metric measurement and conversions, aligning well with the target curriculum objective. However, while it provides clear definitions and examples, the complexity of language and the introduction of multiple new terms may overwhelm 7-8 year-olds. More pictorial examples and simpler explanations could enhance understanding and engagement.",baseline example
