small_step_id,action,reason,new_ss_desc,existing_ss_desc
Year 7_11-12_Summer__Properties of number_9_Lowest common multiple (LCM),updated,ss_desc filled from candidate,"Students learn to find the lowest common multiple (LCM) of two or more numbers by listing multiples systematically. They identify common multiples and distinguish between the highest common factor and LCM. Address misconceptions, such as confusing LCM with the product of numbers. Progress to solving word problems involving more than two numbers.",
Year 7_11-12_Summer__Properties of number_10_HCF and LCM from a Venn diagram (E),updated,ss_desc filled from candidate,"Students use Venn diagrams to find the highest common factor (HCF) and lowest common multiple (LCM) by representing numbers as products of their prime factors. The intersection shows shared prime factors for HCF, while multiplying all factors gives the LCM. Address misconceptions about factor placement and calculation errors.",
Year 7_11-12_Summer__Properties of number_11_Use factors to simplify calculations (E),updated,ss_desc filled from candidate,"Students learn to express numbers as a product of factors to simplify calculations, enhancing mental or written methods. For example, in 16 × 50, express 16 as 4 × 4 and 50 as 25 × 2, simplifying to 100 × 4 × 2. Focus on efficient factor groupings, not prime factorisation, and discuss the commutative property of multiplication.",
Year 7_11-12_Summer__Add and subtract fractions_9_Add and subtract simple algebraic fractions (E),updated,ss_desc filled from candidate,"Students extend their understanding of fractions in algebra by comparing the addition of fractional expressions to numerical fractions. Practice involves algebraic fractions with variables in numerators and denominators. Address misconceptions such as not equalizing denominators before adding. Challenge students with equations involving algebraic fractions equaling a whole, e.g., 3x + 2x = 1.",
Year 7_11-12_Summer__Add and subtract fractions_10_Substitution and solving equations with fractions (E),updated,ss_desc filled from candidate,"Students apply their knowledge of adding and subtracting algebraic fractions, focusing on substitution and solving equations. Begin with substituting values into algebraic fractional expressions, then solve equations with fractional terms. Address misconceptions, such as incorrect inverse operations and errors in substituting powers. Challenge students with fractions greater than 1 in problems.",
Year 7_11-12_Summer__Angles and polygons_9_Solve problems with angles,updated,ss_desc filled from candidate,"Students apply known angle facts to calculate unknown angles in various contexts, focusing on identifying and justifying the correct fact to use. They should clearly explain their reasoning and check their answers. This step involves setting up equations and may combine multiple angle facts. Calculators are used to emphasize understanding angle facts over arithmetic.",
Year 7_11-12_Summer__Angles and polygons_10_Parallel and perpendicular lines,updated,ss_desc filled from candidate,"Students consolidate their understanding of parallel and perpendicular lines. Parallel lines are equidistant and never meet, while perpendicular lines intersect at a right angle (90°). Use diagrams and examples, like train tracks and book corners, to illustrate. Emphasize accurate vocabulary and notation. Practice drawing with a ruler and protractor. Address misconceptions about line properties.",
Year 7_11-12_Summer__Angles and polygons_11_Investigate angles in parallel lines  E,updated,ss_desc filled from candidate,"Students explore angles formed when a transversal intersects parallel lines, focusing on measurement and observation. They investigate patterns, using known angle facts like angles on a straight line, to justify ideas. This step builds a foundation for formal parallel line angle facts. Misconceptions include assuming all angles are equal or parallel lines must be horizontal.",
Year 7_11-12_Summer__Angles and polygons_12_Angles in any polygon  E,updated,ss_desc filled from candidate,"Students learn the sum of interior angles in polygons, starting with triangles (180°) and quadrilaterals (360°). They partition polygons into triangles from a single vertex to find the angle sum, e.g., a pentagon into three triangles (540°). Explore regular polygons by dividing the total angle sum by the number of sides. Calculate interior and exterior angles using angles on a straight line.",
Year 7_11-12_Summer__Angles and polygons_13_Simple proofs  E,updated,ss_desc filled from candidate,"Students learn simple proofs using known angle facts, distinguishing between demonstrations and proofs. They model how triangle angles sum to 180° and practice writing proofs with clear reasoning. Discussions on efficiency and generalization highlight proof certainty. Address misconceptions about examples and proof structure. National Curriculum links include applying angle facts and deriving results.",
Year 8_12-13_Summer__Angles in parallel lines and polygons_1_Basic angle rules and notation,updated,ss_desc filled from candidate,"Students review angle rules: angles on a straight line sum to 180°, angles around a point sum to 360°, and angles in triangles and quadrilaterals. They apply these rules to diagrams, using three-letter angle notation and correct vocabulary. Misconceptions include confusing angle sums and neglecting unlabelled angles.",
Year 8_12-13_Summer__Tables and probability_9_Probabilities from two-way tables,updated,ss_desc filled from candidate,"Students learn to calculate probabilities using two-way tables. Focus on extracting relevant information, identifying correct totals for division, and expressing probabilities as fractions, decimals, or percentages. Address common errors, such as selecting incorrect cells or using wrong denominators. Emphasize careful reading of questions and accurate probability notation.",
Year 8_12-13_Summer__Tables and probability_10_Frequency trees,updated,ss_desc filled from candidate,"Students learn to use frequency trees for data organization and interpretation. They complete and construct frequency trees, understanding how branches sum to previous totals. Use familiar contexts with two-stage groupings, linking to part-whole models. Emphasize clear labeling and accuracy checks. Address misconceptions such as incorrect branch sums and unclear labeling.",
Year 8_12-13_Summer__Tables and probability_11_Probabilities from frequency trees,updated,ss_desc filled from candidate,"Students extend their skills in constructing and interpreting frequency trees to calculate probabilities. They learn to select the correct total for the denominator, whether for the whole group or a subset, and identify relevant branches for the numerator. Emphasis is on distinguishing probabilities from the whole group versus a specific condition, such as ""given Year 8.""",
Year 8_12-13_Summer__Circles_9_Perimeter and area of compound shapes with circles,updated,ss_desc filled from candidate,"Students calculate the area and perimeter of compound shapes involving circles, semicircles, quarter circles, and three-quarter circles. They split shapes into parts, calculate each area, and sum them. Students identify arcs and edges for perimeter calculations, practice using π, and give decimal approximations. They address common errors, such as confusing formulae and misreading lengths.",
Year 9_12-13_Summer__Pythagoras theorem_1_Solve equations with squares and square roots,updated,ss_desc filled from candidate,"Students solve equations involving square numbers and square roots, building on prior knowledge of these concepts and equation-solving. Emphasize inverse operations and why equations like x² = 16 have two solutions: x = 4 and x = -4. Progress to equations with non-unit coefficients and numbers on both sides. Address misconceptions about positive and negative solutions and inverse operations.",
Year 9_13-14_Summer__Sets and probability_9_Independent events,updated,ss_desc filled from candidate,"Students explore independent events using sample space diagrams, such as rolling two dice, to list outcomes and count favorable cases. They learn that multiplying separate probabilities, like \( \frac{1}{2} \times \frac{1}{6} = \frac{1}{12} \), explains why multiplication is used for independent events. Students express probabilities as fractions and decimals, enhancing fluency and comparison.",
Year 9_13-14_Summer__Sets and probability_10_Probabilities from Venn diagrams,updated,ss_desc filled from candidate,"Students explore probabilities using Venn diagrams, focusing on calculating probabilities by comparing outcomes in a region to the total. They may also explore conditional probability with ""given that"" clauses. Key concepts include understanding intersections, unions, and the universal set. Common errors include omitting external elements and miscalculating totals. Linked to enumerating sets and using Venn diagrams.",
Year 9_13-14_Summer__Transformations_9_Describe a translation,updated,ss_desc filled from candidate,"Students describe a translation using a column vector by identifying corresponding vertices and calculating horizontal and vertical movements. Emphasize the order: horizontal movement is the top value, vertical below. The same vector applies to all vertices. Address misconceptions like using words, incorrect vector notation, and order errors. National Curriculum links include identifying properties and results of transformations.",
Year 9_13-14_Summer__Transformations_10_Reflection,updated,ss_desc filled from candidate,"Students will complete and describe reflections in horizontal, vertical, and diagonal lines, emphasizing the need to include the reflection and the equation of the mirror line. They should correctly identify equations of lines and avoid common errors, such as incorrect plotting or using non-mathematical vocabulary. Tracing paper is recommended for accuracy.",
Year 9_13-14_Summer__Transformations_11_Find the result of a series of transformations (E),updated,ss_desc filled from candidate,"Students consolidate their understanding of reflections, translations, rotations, and enlargements by applying a series of transformations to a shape. Emphasize that the order of transformations affects the final image. Encourage exploring if multiple transformations can be represented by a single one. Address common errors, such as incorrect order or misinterpreting reflection lines.",
Year 10_14-15_Autumn_Higher_Algebraic manipulation_5_Factorise into a single bracket,skipped,canonical ss_desc already non-empty,,"In this small step, students recap factorising expressions into single brackets, building on their learning from Key Stage 3. It can be useful to revisit finding the highest common factor of a variety of terms, including those where the highest common factor is algebraic. Highlight to students that factorising and expanding are the inverse of each other. Using an area model or multiplication grid can be an excellent way to exemplify this, allowing students to make connections between the two. Students should explore factorising expressions including negative values and non-unit coefficients of the variable, including examples such as 6 – 2x and –4x – 8 Students’ previous understanding of factorising is extended in this step, to include the subtraction law of indices, by including variables with powers greater than 2. For example, 2x3 + 4x."
"Year 10_14-15_Summer_Higher_Angles_1_Angles around a point, on a straight line and vertically opposite",updated,ss_desc filled from candidate,"In this step, students revisit Key Stage 3 angle facts: angles around a point, on a straight line, and vertically opposite angles. Emphasize selecting appropriate rules and using three-letter notation. Address misconceptions, such as confusing angle rules or incorrect notation. Encourage reasoning and correct use of angle symbols, ensuring students understand when angles sum to 180° or 360°.",
Year 10_14-15_Summer_Higher_Angles_2_Angles in triangles and quadrilaterals,updated,ss_desc filled from candidate,"Students review angles in triangles and quadrilaterals, starting with the sum of angles in a triangle (180°) and extending to quadrilaterals (360°). They explore various triangle and quadrilateral types, using terms like ""isosceles triangle"" and ""isosceles trapezium,"" and apply angle facts to solve problems. Misconceptions include confusing angle sums and properties.",
Year 10_14-15_Summer_Higher_Angles_3_Exterior angles of a polygon,updated,ss_desc filled from candidate,"Students review interior and exterior angles from Key Stage 3, recalling that the sum of exterior angles in any polygon is 360°. They calculate individual exterior angles in regular polygons by dividing 360° by the number of sides. Using the fact that interior and exterior angles sum to 180°, students find unknown angles and determine the number of sides in regular polygons.",
Year 10_14-15_Summer_Higher_Angles_4_Interior angles of a polygon,updated,ss_desc filled from candidate,"Students revisit interior angles of polygons, recalling that interior and exterior angles sum to 180°. Use the formula (n – 2) × 180° to find the sum of interior angles, where n is the number of sides. Discuss regular polygons with equal sides and angles. Address misconceptions about angle sums and irregular polygons. Calculators may be used.",
Year 10_14-15_Summer_Higher_Angles_5_Solve problems with angles in polygons,updated,ss_desc filled from candidate,"Students solve multi-step problems involving polygons by applying interior and exterior angle knowledge. They use angle facts like the sum of interior angles, calculated as (n – 2) × 180°, and the sum of exterior angles as 360°. Tasks include finding unknown angles in irregular polygons and compound shapes. Emphasize diagram labeling, reasoning, and strategy justification.",
"Year 10_14-15_Summer_Higher_Angles_6_Co-interior, alternate and corresponding angles",updated,ss_desc filled from candidate,"Students consolidate their understanding of alternate, corresponding, and co-interior angles, focusing on co-interior angles summing to 180° when a transversal crosses parallel lines. Emphasize reasoning and justification using diagrams, including algebraic expressions. Address misconceptions, such as assuming co-interior angles are equal or misidentifying angles when lines aren't parallel.",
Year 10_14-15_Summer_Higher_Angles_7_Solve problems with angles and algebra,updated,ss_desc filled from candidate,"Students apply angle facts and algebraic techniques to solve multi-step geometric problems. They revisit key angle relationships, form and solve equations, and check solutions for accuracy. Problems involve intersecting lines and simultaneous angle relationships. Students create and solve their own algebraic angle problems, addressing misconceptions like misidentifying angle facts or incorrect simplification of expressions.",
Year 10_14-15_Summer_Higher_Angles_8_Prove geometric facts (E),updated,ss_desc filled from candidate,"In this step, students use reasoning to prove geometric facts, revisiting angle facts and constructing logical chains like “because alternate angles are equal.” Students should write and justify each step, ensuring proofs apply universally. They will identify errors in examples, avoiding assumptions about scale and ensuring logical progression in proofs.",
Year 10_14-15_Summer_Foundation_Angles_9_Prove geometric facts (E),updated,ss_desc filled from candidate,"In this step, students use reasoning to prove geometric facts. They revisit angle facts and build reasoning chains, such as “alternate angles are equal” or “angles in a triangle sum to 180°.” Students must justify each step and ensure proofs apply universally. They identify errors in examples and avoid assumptions from diagrams.",
Year 10_14-15_Summer_Higher_Graphs and diagrams_1_Pie charts,updated,ss_desc filled from candidate,"Students review drawing and interpreting pie charts, emphasizing that pie charts represent a whole divided into parts, with sectors summing to 360°. They learn to convert data from percentages, fractions, or bar charts into pie charts, using a protractor accurately and labeling clearly. Students interpret pie charts by comparing proportions, not frequencies, across different charts.",
Year 10_14-15_Summer_Higher_Graphs and diagrams_2_Time series graphs,updated,ss_desc filled from candidate,"Students revisit Year 7 concepts on time series graphs, focusing on changes over time with clearly labelled axes. Time is plotted on the horizontal axis with equal intervals. Discuss trends, stability, and short-term fluctuations. Solid lines suggest interpolation between points, while dashed lines indicate unreliable data. Address misconceptions about trends and line types.",
Year 10_14-15_Summer_Higher_Graphs and diagrams_3_Frequency polygons,updated,ss_desc filled from candidate,"Students learn to draw and interpret frequency polygons by plotting midpoints of class intervals and connecting them with straight lines. The horizontal axis represents continuous data, and the vertical axis shows frequencies. Discuss the significance of midpoints and how the shape of frequency polygons reveals data trends. Address common errors like plotting boundaries or using curves.",
Year 10_14-15_Summer_Higher_Graphs and diagrams_4_Stem-and-leaf diagrams,updated,ss_desc filled from candidate,"Students learn to draw and interpret stem-and-leaf diagrams, using the stem for place value and the leaf for the final digit. Emphasize the importance of a clear key for accurate interpretation. Teach organizing data, selecting stems, and aligning leaves. Include examples with decimals and introduce back-to-back diagrams for comparing data sets. Address common errors like unordered leaves and missing keys.",
Year 10_14-15_Summer_Higher_Graphs and diagrams_5_Draw histograms,updated,ss_desc filled from candidate,"Students learn to represent grouped data as a histogram, understanding that each bar's area represents frequency. They explore the relationship between class width and bar height, where height is frequency density. Students may create axes or use different classes. Common errors include equal bar widths for differing intervals and plotting frequency instead of frequency density.",
Year 10_14-15_Summer_Higher_Graphs and diagrams_6_Interpret histograms,updated,ss_desc filled from candidate,"Students learn to interpret histograms by recognizing that the area of each bar represents frequency. They calculate frequency using the formula: frequency = frequency density × class width. Students estimate values within intervals, including the median, and express data as fractions and percentages. Address misconceptions, such as confusing bar height with frequency.",
