thought_prompt_num,small_step_num,small_step_name,video_id,rank,variant,prompt_text,visual_type,visual_params,answer_type,correct_answer,", error returs next question, change text to did I get it right?",difficulty,choice1,choice2,choice3
1,374,"Partition numbers to 1,000","Year 4_8-9_Autumn__Place value_2_Partition numbers to 1,000_rank1_placeholder",1,1,What are the three parts that make this whole?,part_whole_model,"{""total"": 347, ""parts"": [300, 40, 7], ""label"": false}",text_match,"300, 40, and 7",,easy,300 and 7,"300, 40, and 7","300, 70 and 4"
2,374,"Partition numbers to 1,000","Year 4_8-9_Autumn__Place value_2_Partition numbers to 1,000_rank1_placeholder",1,2,Complete this partition: 458 = ___ + 8,part_whole_model,"{""total"": 458, ""parts"": [400, 50, 8], ""label"": false}",text_match,50,,medium,50,80,40
3,374,"Partition numbers to 1,000","Year 4_8-9_Autumn__Place value_2_Partition numbers to 1,000_rank1_placeholder",1,3,This part-whole shows a number with zero in the tens place. What is the missing part?,part_whole_model,"{""total"": 306, ""parts"": [300, ""?"", 6], ""label"": false}",numeric,0,,hard,6,300,0
4,375,"Number line to 1,000","Year 4_8-9_Autumn__Place value_3_Number line to 1,000_rank1_placeholder",1,1,What number is shown by the arrow?,number_line,"{""start"": 0, ""end"": 100, ""highlight"": 47, ""interval"": 10, ""label"": false}",numeric,47,,medium,45,47,48
5,375,"Number line to 1,000","Year 4_8-9_Autumn__Place value_3_Number line to 1,000_rank1_placeholder",1,2,Each interval represents 10. What is the value at the midpoint?,number_line,"{""start"": 20, ""end"": 80, ""highlight"": 50, ""interval"": 10, ""label"": false}",numeric,50,,medium,49,55,50
6,375,"Number line to 1,000","Year 4_8-9_Autumn__Place value_3_Number line to 1,000_rank1_placeholder",1,3,What is the value of each interval on this number line?,number_line,"{""start"": 0, ""end"": 100, ""highlight"": null, ""interval"": 10, ""label"": false}",numeric,10,,easy,10,100,20
7,376,Thousands,Year 4_8-9_Autumn__Place value_4_Thousands_rank1_placeholder,1,1,"How many hundreds are equal to 3,000?",base10_blocks,"{""tens"": 30, ""ones"": 0, ""label"": false, ""note"": ""Show as 30 hundred-blocks""}",numeric,30,,medium,,,
8,376,Thousands,Year 4_8-9_Autumn__Place value_4_Thousands_rank1_placeholder,1,2,"If I count in thousands, what comes after 5,000?",number_line,"{""start"": 0, ""end"": 10000, ""highlight"": 6000, ""interval"": 1000, ""label"": false}",numeric,6000,,easy,,,
9,376,Thousands,Year 4_8-9_Autumn__Place value_4_Thousands_rank1_placeholder,1,3,"Complete: ___ hundreds = 2,000",number_line,"{""start"": 0, ""end"": 2000, ""interval"": 100, ""highlight"": null, ""label"": false}",numeric,20,,hard,,,
10,377,"Represent numbers to 10,000","Year 4_8-9_Autumn__Place value_5_Represent numbers to 10,000_rank1_placeholder",1,1,What 4-digit number is shown?,base10_blocks,"{""thousands"": 3, ""hundreds"": 2, ""tens"": 4, ""ones"": 7, ""label"": false}",numeric,3247,,medium,3427,3274,3247
