year,age,term,difficulty,topic,small_step_num,small_step_num_in_topic,small_step_num_global,small_step,small_step_name,small_step_desc,ss_wr_desc,ss_desc_validated,ss_desc_validated_source,small_step_id,small_step_key,rank,recommendation_num,recommendation_id,video_id,title,video_title,channel,duration,duration_formatted,semantic_score,alignment_score,instruction_score,combined_score,alignment_justification,instruction_justification,run_signature
Year 1,5-6,Autumn,,Place value within 10,1,1,1,Sort objects,Sort objects,"learn that collections of objects can be sorted into sets based on attributes such as colour, size or shape. Sorting enables children to consider what is the same about all the objects in one set and how they differ from the objects in other sets. Children need to understand that the same collection of objects can be sorted in different ways and should be encouraged to come up with their own criteria for sorting objects into sets. Practical activities should be used to support the learning in this step and ideas are suggested in Key learning. The concept of sorting can also be reinforced during daily activities such as lining up. Children could be asked to line up based on certain criteria, for example whether they have a sister.","learn that collections of objects can be sorted into sets based on attributes such as colour, size or shape. Sorting enables children to consider what is the same about all the objects in one set and how they differ from the objects in other sets. Children need to understand that the same collection of objects can be sorted in different ways and should be encouraged to come up with their own criteria for sorting objects into sets. Practical activities should be used to support the learning in this step and ideas are suggested in Key learning. The concept of sorting can also be reinforced during daily activities such as lining up. Children could be asked to line up based on certain criteria, for example whether they have a sister.","Sort objects into groups based on colour, size or shape. Sorting enables children to consider what is the same about all the objects in one set and how they differ from the objects in other sets. Children need to understand that the same collection of objects can be sorted in different ways and should be encouraged to come up with their own criteria for sorting objects into sets. The concept of sorting can also be reinforced during daily activities.",override,Year 1_5-6_Autumn__Place value within 10_1_Sort objects,year-1__5-6__autumn__blank__place-value-within-10__1__sort-objects,1,1,Year 1_5-6_Autumn__Place value within 10_1_Sort objects_recommendation_1,kFr-Vy3od7w,Categorizing and Sorting Objects | It's Easy With Twinkl | Twinkl USA,Categorizing and Sorting Objects | It's Easy With Twinkl | Twinkl USA,Twinkl_Teaching_Resources_-_United_States,00:06:45,00:06:45,0.9045,90.0,85.0,0.89,"The transcript content closely aligns with the target objective by focusing on sorting objects based on various criteria such as shape, size, and color, which is appropriate for learners aged 5-6. It effectively introduces the concept of sorting and encourages children to think about the similarities and differences among objects, though it slightly drifts into attributes, which may be a broader objective.","The transcript effectively introduces the concept of sorting by focusing on a single idea throughout, using clear and age-appropriate language. It provides examples of sorting by shape, size, color, and attributes, engaging learners with questions that prompt participation. However, while it defines 'attribute,' the explanation could benefit from simpler language and more visual aids to enhance understanding for very young learners.",69b4e62b366609314355839d655efc3f31370abb
Year 1,5-6,Autumn,,Place value within 10,1,1,1,Sort objects,Sort objects,"learn that collections of objects can be sorted into sets based on attributes such as colour, size or shape. Sorting enables children to consider what is the same about all the objects in one set and how they differ from the objects in other sets. Children need to understand that the same collection of objects can be sorted in different ways and should be encouraged to come up with their own criteria for sorting objects into sets. Practical activities should be used to support the learning in this step and ideas are suggested in Key learning. The concept of sorting can also be reinforced during daily activities such as lining up. Children could be asked to line up based on certain criteria, for example whether they have a sister.","learn that collections of objects can be sorted into sets based on attributes such as colour, size or shape. Sorting enables children to consider what is the same about all the objects in one set and how they differ from the objects in other sets. Children need to understand that the same collection of objects can be sorted in different ways and should be encouraged to come up with their own criteria for sorting objects into sets. Practical activities should be used to support the learning in this step and ideas are suggested in Key learning. The concept of sorting can also be reinforced during daily activities such as lining up. Children could be asked to line up based on certain criteria, for example whether they have a sister.","Sort objects into groups based on colour, size or shape. Sorting enables children to consider what is the same about all the objects in one set and how they differ from the objects in other sets. Children need to understand that the same collection of objects can be sorted in different ways and should be encouraged to come up with their own criteria for sorting objects into sets. The concept of sorting can also be reinforced during daily activities.",override,Year 1_5-6_Autumn__Place value within 10_1_Sort objects,year-1__5-6__autumn__blank__place-value-within-10__1__sort-objects,2,2,Year 1_5-6_Autumn__Place value within 10_1_Sort objects_recommendation_2,Zg5AAxgf9qg,Sort the Same Group Two Different Ways | Preschool and Kindergarten | Kids Academy,Sort the Same Group Two Different Ways | Preschool and Kindergarten | Kids Academy,Kids_Academy,00:04:56,00:04:56,0.6814,95.0,85.0,0.7773,"The transcript aligns well with the target objective by focusing on sorting objects based on color and size, which directly matches the curriculum goal of sorting objects into groups. The content is age-appropriate for 5-6-year-olds, using simple language and engaging examples that encourage learners to think about different sorting criteria.","The transcript effectively explains the concept of sorting objects by color and size using clear examples that are appropriate for young learners. The language is simple and engaging, and it encourages student participation with prompts to think about sorting in different ways. However, the introduction of terms like 'group' and 'size' could benefit from clearer definitions for complete understanding.",69b4e62b366609314355839d655efc3f31370abb
Year 1,5-6,Autumn,,Place value within 10,1,1,1,Sort objects,Sort objects,"learn that collections of objects can be sorted into sets based on attributes such as colour, size or shape. Sorting enables children to consider what is the same about all the objects in one set and how they differ from the objects in other sets. Children need to understand that the same collection of objects can be sorted in different ways and should be encouraged to come up with their own criteria for sorting objects into sets. Practical activities should be used to support the learning in this step and ideas are suggested in Key learning. The concept of sorting can also be reinforced during daily activities such as lining up. Children could be asked to line up based on certain criteria, for example whether they have a sister.","learn that collections of objects can be sorted into sets based on attributes such as colour, size or shape. Sorting enables children to consider what is the same about all the objects in one set and how they differ from the objects in other sets. Children need to understand that the same collection of objects can be sorted in different ways and should be encouraged to come up with their own criteria for sorting objects into sets. Practical activities should be used to support the learning in this step and ideas are suggested in Key learning. The concept of sorting can also be reinforced during daily activities such as lining up. Children could be asked to line up based on certain criteria, for example whether they have a sister.","Sort objects into groups based on colour, size or shape. Sorting enables children to consider what is the same about all the objects in one set and how they differ from the objects in other sets. Children need to understand that the same collection of objects can be sorted in different ways and should be encouraged to come up with their own criteria for sorting objects into sets. The concept of sorting can also be reinforced during daily activities.",override,Year 1_5-6_Autumn__Place value within 10_1_Sort objects,year-1__5-6__autumn__blank__place-value-within-10__1__sort-objects,3,3,Year 1_5-6_Autumn__Place value within 10_1_Sort objects_recommendation_3,tsNqNykbyIM,Sorting for kindergarten | Sorting Objects for Kids | Sorting Games for Preschool |color sorter game,Sorting for kindergarten | Sorting Objects for Kids | Sorting Games for Preschool |color sorter game,Neel_Nation,00:05:03,00:05:03,0.7791,85.0,65.0,0.761,"The transcript aligns well with the target objective of sorting objects based on color, which is appropriate for 5-6 year olds. It focuses on sorting by color and encourages children to engage in the activity, although it could have included more emphasis on sorting by other criteria like size or shape to fully meet the objective.","The transcript provides a basic explanation of sorting and engages learners with examples of sorting by color, which aligns with the curriculum objective. However, the language is somewhat complex for 5-6 year olds, and there is a lack of clear definitions for terms like 'sorting' and 'similarities.' Additionally, the video could benefit from more visual aids and prompts to encourage student engagement.",69b4e62b366609314355839d655efc3f31370abb
Year 1,5-6,Autumn,,Place value within 10,2,2,2,Count objects,Count objects,"The aim of this small step is for children to be able to fluently count to 10 when counting objects. Focus on the five counting principles when assessing children’s ability to count accurately. The one-to-one principle: Children assign one number name to each object that is being counted. The stable-order principle: When counting, the numbers have to be said in a certain order. The cardinal principle: The final object in a group is the total number of objects in that group. The abstraction principle: Anything can be counted, including things that cannot be touched, such as sounds and movements, for example jumps. The order-irrelevance principle: The order in which they count a group of objects is irrelevant. There will still be the same number.","The aim of this small step is for children to be able to fluently count to 10 when counting objects. Focus on the five counting principles when assessing children’s ability to count accurately. The one-to-one principle: Children assign one number name to each object that is being counted. The stable-order principle: When counting, the numbers have to be said in a certain order. The cardinal principle: The final object in a group is the total number of objects in that group. The abstraction principle: Anything can be counted, including things that cannot be touched, such as sounds and movements, for example jumps. The order-irrelevance principle: The order in which they count a group of objects is irrelevant. There will still be the same number.","counting 1 -10 how to count in ones / 1's from 1 to 10, counting by 1's 1 to 10 song up to ten, 1,2,3,4,5,6,7,8,9,10, one two three four five six seven eight nine ten",override,Year 1_5-6_Autumn__Place value within 10_2_Count objects,year-1__5-6__autumn__blank__place-value-within-10__2__count-objects,1,1,Year 1_5-6_Autumn__Place value within 10_2_Count objects_recommendation_1,bI1nPJgnWLs,Basic Counting - Math for Kids!,Basic Counting - Math for Kids!,Miacademy_&_MiaPrep_Learning_Channel,00:04:36,00:04:36,0.7957,95.0,85.0,0.8401,"The video aligns closely with the target objective by focusing on counting from 1 to 10, which is essential for learners aged 5-6. It effectively demonstrates counting in a clear and engaging manner, using examples that are age-appropriate and relevant to the learners' everyday experiences, without drifting into broader topics.","The transcript effectively introduces the concept of counting to 10 in a straightforward manner, focusing on a single concept throughout the video. It uses simple language appropriate for 5-6 year-olds and includes relatable examples with items like apples and books to engage learners. However, while it mentions counting with fingers, it could benefit from more visual aids or pictographic examples to enhance understanding.",69b4e62b366609314355839d655efc3f31370abb
Year 1,5-6,Autumn,,Place value within 10,2,2,2,Count objects,Count objects,"The aim of this small step is for children to be able to fluently count to 10 when counting objects. Focus on the five counting principles when assessing children’s ability to count accurately. The one-to-one principle: Children assign one number name to each object that is being counted. The stable-order principle: When counting, the numbers have to be said in a certain order. The cardinal principle: The final object in a group is the total number of objects in that group. The abstraction principle: Anything can be counted, including things that cannot be touched, such as sounds and movements, for example jumps. The order-irrelevance principle: The order in which they count a group of objects is irrelevant. There will still be the same number.","The aim of this small step is for children to be able to fluently count to 10 when counting objects. Focus on the five counting principles when assessing children’s ability to count accurately. The one-to-one principle: Children assign one number name to each object that is being counted. The stable-order principle: When counting, the numbers have to be said in a certain order. The cardinal principle: The final object in a group is the total number of objects in that group. The abstraction principle: Anything can be counted, including things that cannot be touched, such as sounds and movements, for example jumps. The order-irrelevance principle: The order in which they count a group of objects is irrelevant. There will still be the same number.","counting 1 -10 how to count in ones / 1's from 1 to 10, counting by 1's 1 to 10 song up to ten, 1,2,3,4,5,6,7,8,9,10, one two three four five six seven eight nine ten",override,Year 1_5-6_Autumn__Place value within 10_2_Count objects,year-1__5-6__autumn__blank__place-value-within-10__2__count-objects,2,2,Year 1_5-6_Autumn__Place value within 10_2_Count objects_recommendation_2,DR-cfDsHCGA,Counting 1-10 Song | Number Songs for Children | The Singing Walrus,Counting 1-10 Song | Number Songs for Children | The Singing Walrus,The_Singing_Walrus_-_English_Songs_For_Kids,00:02:42,00:02:42,0.8301,95.0,60.0,0.7966,"The main teaching focus of the video aligns well with the target objective of counting from 1 to 10, as it emphasizes counting in ones and includes a repetitive counting song. The content is age-appropriate for 5-6 year olds and remains focused on the specific objective without drifting into broader topics.","The transcript effectively engages young learners through repetition and call-and-response, which is suitable for their age. However, it lacks pictographic examples and step-by-step reasoning, which are crucial for understanding place value and counting. The language is appropriate, but the focus on mere counting without deeper conceptual explanation limits its instructional quality.",69b4e62b366609314355839d655efc3f31370abb
Year 1,5-6,Autumn,,Place value within 10,2,2,2,Count objects,Count objects,"The aim of this small step is for children to be able to fluently count to 10 when counting objects. Focus on the five counting principles when assessing children’s ability to count accurately. The one-to-one principle: Children assign one number name to each object that is being counted. The stable-order principle: When counting, the numbers have to be said in a certain order. The cardinal principle: The final object in a group is the total number of objects in that group. The abstraction principle: Anything can be counted, including things that cannot be touched, such as sounds and movements, for example jumps. The order-irrelevance principle: The order in which they count a group of objects is irrelevant. There will still be the same number.","The aim of this small step is for children to be able to fluently count to 10 when counting objects. Focus on the five counting principles when assessing children’s ability to count accurately. The one-to-one principle: Children assign one number name to each object that is being counted. The stable-order principle: When counting, the numbers have to be said in a certain order. The cardinal principle: The final object in a group is the total number of objects in that group. The abstraction principle: Anything can be counted, including things that cannot be touched, such as sounds and movements, for example jumps. The order-irrelevance principle: The order in which they count a group of objects is irrelevant. There will still be the same number.","counting 1 -10 how to count in ones / 1's from 1 to 10, counting by 1's 1 to 10 song up to ten, 1,2,3,4,5,6,7,8,9,10, one two three four five six seven eight nine ten",override,Year 1_5-6_Autumn__Place value within 10_2_Count objects,year-1__5-6__autumn__blank__place-value-within-10__2__count-objects,3,3,Year 1_5-6_Autumn__Place value within 10_2_Count objects_recommendation_3,dLNwGi7Jugw,One Times table - Learn Your Times Tables #1 ✖️ | Counting for Kids | Numberblocks #shorts,One Times table - Learn Your Times Tables #1 ✖️ | Counting for Kids | Numberblocks #shorts,numberblocks,00:01:06,00:01:06,0.8257,90.0,40.0,0.7341,"The transcript content aligns well with the target objective of counting from 1 to 10 in ones, as it repeatedly emphasizes the counting sequence and encourages participation through a sing-along format. It remains focused on the specific objective without drifting into broader topics, making it suitable for the age group of 5-6 year olds.","The transcript provides a repetitive counting exercise, which may help with rote memorization, but it lacks a clear conceptual explanation of place value and counting. There are no pictographic examples or engaging prompts to help young learners grasp the concept, and the language is overly simplistic without introducing any new terms or definitions.",69b4e62b366609314355839d655efc3f31370abb
Year 1,5-6,Autumn,,Place value within 10,3,3,3,Count objects from a larger group,Count objects from a larger group,"continue to count objects, but this time they are asked to count a specific number of objects from a larger group. This requires children to be more organised and careful when counting. From a larger group, children select a given number of objects and count them out. When asked “How many?”, they should be able to recall the final number they said. Children who have not grasped the cardinal counting principle will recount the whole group again. To support children, it may be useful to ask them to count the objects onto a mat or into a container before moving on to pictorial representations.","continue to count objects, but this time they are asked to count a specific number of objects from a larger group. This requires children to be more organised and careful when counting. From a larger group, children select a given number of objects and count them out. When asked “How many?”, they should be able to recall the final number they said. Children who have not grasped the cardinal counting principle will recount the whole group again. To support children, it may be useful to ask them to count the objects onto a mat or into a container before moving on to pictorial representations.","continue to count objects, but this time they are asked to count a specific number of objects from a larger group. This requires children to be more organised and careful when counting. From a larger group, children select a given number of objects and count them out. When asked “How many?”, they should be able to recall the final number they said. Children who have not grasped the cardinal counting principle will recount the whole group again. To support children, it may be useful to ask them to count the objects onto a mat or into a container before moving on to pictorial representations.",baseline,Year 1_5-6_Autumn__Place value within 10_3_Count objects from a larger group,year-1__5-6__autumn__blank__place-value-within-10__3__count-objects-from-a-larger-group,1,1,Year 1_5-6_Autumn__Place value within 10_3_Count objects from a larger group_recommendation_1,gtO7SGUlbJg,Learn to Count: Counting Using One to One Correspondence,Learn to Count: Counting Using One to One Correspondence,Early_Learning_Coach,00:03:29,00:03:29,0.702,85.0,75.0,0.7436,"The transcript effectively focuses on counting using one-to-one correspondence, which aligns well with the target objective of counting a specific number of objects from a larger group. It emphasizes organization and careful counting, which are crucial for young learners. However, while it stays on topic, it could benefit from more explicit prompts for selecting a specific number of objects from a larger group.","The transcript effectively introduces the concept of one-to-one correspondence in counting, using simple language and clear instructions appropriate for young learners. However, while it focuses on a single concept, it could benefit from more visual aids or pictographic examples to enhance understanding and engagement.",69b4e62b366609314355839d655efc3f31370abb
Year 1,5-6,Autumn,,Place value within 10,3,3,3,Count objects from a larger group,Count objects from a larger group,"continue to count objects, but this time they are asked to count a specific number of objects from a larger group. This requires children to be more organised and careful when counting. From a larger group, children select a given number of objects and count them out. When asked “How many?”, they should be able to recall the final number they said. Children who have not grasped the cardinal counting principle will recount the whole group again. To support children, it may be useful to ask them to count the objects onto a mat or into a container before moving on to pictorial representations.","continue to count objects, but this time they are asked to count a specific number of objects from a larger group. This requires children to be more organised and careful when counting. From a larger group, children select a given number of objects and count them out. When asked “How many?”, they should be able to recall the final number they said. Children who have not grasped the cardinal counting principle will recount the whole group again. To support children, it may be useful to ask them to count the objects onto a mat or into a container before moving on to pictorial representations.","continue to count objects, but this time they are asked to count a specific number of objects from a larger group. This requires children to be more organised and careful when counting. From a larger group, children select a given number of objects and count them out. When asked “How many?”, they should be able to recall the final number they said. Children who have not grasped the cardinal counting principle will recount the whole group again. To support children, it may be useful to ask them to count the objects onto a mat or into a container before moving on to pictorial representations.",baseline,Year 1_5-6_Autumn__Place value within 10_3_Count objects from a larger group,year-1__5-6__autumn__blank__place-value-within-10__3__count-objects-from-a-larger-group,2,2,Year 1_5-6_Autumn__Place value within 10_3_Count objects from a larger group_recommendation_2,bI1nPJgnWLs,Basic Counting - Math for Kids!,Basic Counting - Math for Kids!,Miacademy_&_MiaPrep_Learning_Channel,00:04:36,00:04:36,0.6884,50.0,55.0,0.6161,"The video focuses on counting to 10, which aligns with the general idea of counting objects; however, it does not specifically address the task of counting a specific number of objects from a larger group as outlined in the target objective. Additionally, the content does not emphasize the organizational aspect of counting or the importance of recalling the final number, which is crucial for learners who are new to this topic.","The transcript introduces counting effectively, but it lacks a focused approach on the specific curriculum objective of counting a specific number of objects from a larger group. While it provides examples, it does not emphasize the organization and careful counting required for this task, nor does it use pictographic representations or engage students with prompts that encourage interaction.",69b4e62b366609314355839d655efc3f31370abb
Year 1,5-6,Autumn,,Place value within 10,3,3,3,Count objects from a larger group,Count objects from a larger group,"continue to count objects, but this time they are asked to count a specific number of objects from a larger group. This requires children to be more organised and careful when counting. From a larger group, children select a given number of objects and count them out. When asked “How many?”, they should be able to recall the final number they said. Children who have not grasped the cardinal counting principle will recount the whole group again. To support children, it may be useful to ask them to count the objects onto a mat or into a container before moving on to pictorial representations.","continue to count objects, but this time they are asked to count a specific number of objects from a larger group. This requires children to be more organised and careful when counting. From a larger group, children select a given number of objects and count them out. When asked “How many?”, they should be able to recall the final number they said. Children who have not grasped the cardinal counting principle will recount the whole group again. To support children, it may be useful to ask them to count the objects onto a mat or into a container before moving on to pictorial representations.","continue to count objects, but this time they are asked to count a specific number of objects from a larger group. This requires children to be more organised and careful when counting. From a larger group, children select a given number of objects and count them out. When asked “How many?”, they should be able to recall the final number they said. Children who have not grasped the cardinal counting principle will recount the whole group again. To support children, it may be useful to ask them to count the objects onto a mat or into a container before moving on to pictorial representations.",baseline,Year 1_5-6_Autumn__Place value within 10_3_Count objects from a larger group,year-1__5-6__autumn__blank__place-value-within-10__3__count-objects-from-a-larger-group,3,3,Year 1_5-6_Autumn__Place value within 10_3_Count objects from a larger group_recommendation_3,8lJIhOXUoZk,Tens and Ones|Tens and Ones Concept For Kindergarden||Concept of Tens and Ones|Place Value in Maths,Tens and Ones|Tens and Ones Concept For Kindergarden||Concept of Tens and Ones|Place Value in Maths,LoveToLearn_with_Subhashini_Balakrishnan,00:07:32,00:07:32,0.7924,30.0,45.0,0.6083,"The video primarily focuses on teaching the concept of tens and ones, which is beyond the target objective of counting a specific number of objects from a larger group. While it does involve counting, it does not align with the objective of organizing and recalling a specific number from a larger set, making it unsuitable for the age group of 5-6 year olds who are new to the topic.","The transcript attempts to explain the concept of place value but introduces terms like 'tens place' and 'ones place' without adequate definitions suitable for 5-6 year olds. The language is complex and lacks engaging prompts for interaction, which may hinder understanding for young learners. Additionally, the focus shifts between different examples without reinforcing the core concept effectively.",69b4e62b366609314355839d655efc3f31370abb
Year 1,5-6,Autumn,,Place value within 10,4,4,4,Represent objects,Represent objects,"learn to represent real-life objects such as apples, leaves and sweets using manipulatives such as counters and cubes. They also match numerals to a set of objects, but do not yet use the written words. The purpose is to ensure that children realise that they can represent anything with mathematical equipment or pictures and it can still be counted in the same way. Children also have the opportunity to practise writing numerals to match a set of objects. Ten frames are particularly useful for this small step, as they allow children to organise their manipulatives in a structured way.","learn to represent real-life objects such as apples, leaves and sweets using manipulatives such as counters and cubes. They also match numerals to a set of objects, but do not yet use the written words. The purpose is to ensure that children realise that they can represent anything with mathematical equipment or pictures and it can still be counted in the same way. Children also have the opportunity to practise writing numerals to match a set of objects. Ten frames are particularly useful for this small step, as they allow children to organise their manipulatives in a structured way.",use counters to represent the number of a group of objects,override,Year 1_5-6_Autumn__Place value within 10_4_Represent objects,year-1__5-6__autumn__blank__place-value-within-10__4__represent-objects,1,1,Year 1_5-6_Autumn__Place value within 10_4_Represent objects_recommendation_1,bRw8gb3hhdM,Representing Numbers 11 20 Groups of Ten and Some Left Over,Representing Numbers 11 20 Groups of Ten and Some Left Over,Country_Canines_and_Cluckers,00:06:22,00:06:22,0.7659,70.0,70.0,0.7363,"The video primarily focuses on representing numbers using counters, which aligns with the target objective of using counters to represent a group of objects. However, it extends the scope to numbers beyond 10 and introduces concepts of grouping which may not be suitable for learners who are just starting with place value within 10.","The transcript effectively explains the concept of place value using counters and a double 10 frame, which is appropriate for young learners. However, while it maintains focus on the single concept of representing numbers, the language could be simplified further, and the introduction of terms like 'standard form' may distract from the core concept without adequate explanation for this age group.",69b4e62b366609314355839d655efc3f31370abb
