video_id,video_title,channel,source_step,source_step_name,source_position,status,privacy_status,embeddable,upload_status,api_title
Uu6uT3sFyNo,Evaluating Algebraic Expressions: Part 1 - Substitution and GEMS,Miacademy_&_MiaPrep_Learning_Channel,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_1_Substitution,Substitution,current_1,available,public,True,processed,Evaluating Algebraic Expressions: Part 1 - Substitution and GEMS
K16dLKw2oMo,Algebra: Substitution in Maths,Minity_Maths,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_1_Substitution,Substitution,current_2,available,public,True,processed,Algebra: Substitution in Maths
FZDs8ksVsLk,Algebra - Substitution,Deasy_Maths,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_1_Substitution,Substitution,current_3,available,public,True,processed,Algebra - Substitution
wk5KvvPNyJU,Combining Like Terms - How To Simplify Algebraic Expressions,Miacademy_&_MiaPrep_Learning_Channel,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_2_Collect like terms,Collect like terms,current_1,available,public,True,processed,Combining Like Terms - How To Simplify Algebraic Expressions
o8mHyddtq3o,Collecting Like Terms and Simplifying Expressions,Minity_Maths,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_2_Collect like terms,Collect like terms,current_2,available,public,True,processed,Collecting Like Terms and Simplifying Expressions
DKC74YKJpNY,Algebra Basics: Simplifying Polynomials - Math Antics,mathantics,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_2_Collect like terms,Collect like terms,current_3,available,public,True,processed,Algebra Basics: Simplifying Polynomials - Math Antics
honqw6r8uQY,GCSE Maths - How to Simplify Algebraic Expressions (2026/27 exams),Cognito,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_3_Simplify expressions,Simplify expressions,current_1,available,public,True,processed,GCSE Maths - How to Simplify Algebraic Expressions (2026/27 exams)
H92xo5r6l8Q,Simplifying Algebraic Expressions - Combining Like Terms and Distribution,Miacademy_&_MiaPrep_Learning_Channel,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_3_Simplify expressions,Simplify expressions,current_2,available,public,True,processed,Simplifying Algebraic Expressions - Combining Like Terms and Distribution
RNRPI1UHNBU,Multiple Operations to Simplify Linear Expressions | 7.EE.A.1 💚,The_Magic_of_Math,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_3_Simplify expressions,Simplify expressions,current_3,available,public,True,processed,Multiple Operations to Simplify Linear Expressions | 7.EE.A.1 💚
LkhPRz7Hocg,Algebra Basics: Laws Of Exponents - Math Antics,mathantics,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_4_Addition and subtraction laws for indices,Addition and subtraction laws for indices,current_1,available,public,True,processed,Algebra Basics: Laws Of Exponents - Math Antics
