small_step_id,small_step_key,small_step_num_global,small_step_num_in_topic,year,age,term,difficulty,topic,small_step_name,scenario_label,baseline_ss_wr_desc,candidate_ss_wr_desc,is_registered_exception,baseline_count,candidate_count,overlap_video_count,overlap_video_ids,baseline_top_video_id,baseline_top_title,baseline_top_score,candidate_top_video_id,candidate_top_title,candidate_top_score,top_video_changed,notes
Year 1_5-6_Autumn__Place value within 10_1_Sort objects,year-1__5-6__autumn__blank__place-value-within-10__1__sort-objects,1,1,Year 1,5-6,Autumn,,Place value within 10,Sort objects,critical_foci,"learn that collections of objects can be sorted into sets based on attributes such as colour, size or shape. Sorting enables children to consider what is the same about all the objects in one set and how they differ from the objects in other sets. Children need to understand that the same collection of objects can be sorted in different ways and should be encouraged to come up with their own criteria for sorting objects into sets. Practical activities should be used to support the learning in this step and ideas are suggested in Key learning. The concept of sorting can also be reinforced during daily activities such as lining up. Children could be asked to line up based on certain criteria, for example whether they have a sister.","a demonstration of categorising a group of mixed kinds of objects by their physical features, attributes or characteristics for example their shape, colour or type",False,3,3,2,Zg5AAxgf9qg | kFr-Vy3od7w,kFr-Vy3od7w,Categorizing and Sorting Objects | It's Easy With Twinkl | Twinkl USA,0.8077,kFr-Vy3od7w,Categorizing and Sorting Objects | It's Easy With Twinkl | Twinkl USA,0.7551,False,critical_foci
Year 1_5-6_Autumn__Place value within 10_2_Count objects,year-1__5-6__autumn__blank__place-value-within-10__2__count-objects,2,2,Year 1,5-6,Autumn,,Place value within 10,Count objects,critical_foci,"The aim of this small step is for children to be able to fluently count to 10 when counting objects. Focus on the five counting principles when assessing children’s ability to count accurately. The one-to-one principle: Children assign one number name to each object that is being counted. The stable-order principle: When counting, the numbers have to be said in a certain order. The cardinal principle: The final object in a group is the total number of objects in that group. The abstraction principle: Anything can be counted, including things that cannot be touched, such as sounds and movements, for example jumps. The order-irrelevance principle: The order in which they count a group of objects is irrelevant. There will still be the same number.",a demonstration of counting a maximum of 10 objects emphasising that any objects can be counted,False,3,3,0,,1tXp6_NP-A0,I CAN count objects with 1:1 correspondence.,0.7791,8lJIhOXUoZk,Tens and Ones|Tens and Ones Concept For Kindergarden||Concept of Tens and Ones|Place Value in Maths,0.7066,True,critical_foci
Year 1_5-6_Autumn__Place value within 10_3_Count objects from a larger group,year-1__5-6__autumn__blank__place-value-within-10__3__count-objects-from-a-larger-group,3,3,Year 1,5-6,Autumn,,Place value within 10,Count objects from a larger group,critical_foci,"continue to count objects, but this time they are asked to count a specific number of objects from a larger group. This requires children to be more organised and careful when counting. From a larger group, children select a given number of objects and count them out. When asked “How many?”, they should be able to recall the final number they said. Children who have not grasped the cardinal counting principle will recount the whole group again. To support children, it may be useful to ask them to count the objects onto a mat or into a container before moving on to pictorial representations.","a demonstration of extracting a specific number of items from a larger group, leaving some of the larger behind after the count has been completed",False,3,3,2,8lJIhOXUoZk | T5Qf0qSSJFI,8lJIhOXUoZk,Tens and Ones|Tens and Ones Concept For Kindergarden||Concept of Tens and Ones|Place Value in Maths,0.6428,8lJIhOXUoZk,Tens and Ones|Tens and Ones Concept For Kindergarden||Concept of Tens and Ones|Place Value in Maths,0.6316,False,critical_foci
Year 1_5-6_Autumn__Place value within 10_4_Represent objects,year-1__5-6__autumn__blank__place-value-within-10__4__represent-objects,4,4,Year 1,5-6,Autumn,,Place value within 10,Represent objects,critical_foci,"learn to represent real-life objects such as apples, leaves and sweets using manipulatives such as counters and cubes. They also match numerals to a set of objects, but do not yet use the written words. The purpose is to ensure that children realise that they can represent anything with mathematical equipment or pictures and it can still be counted in the same way. Children also have the opportunity to practise writing numerals to match a set of objects. Ten frames are particularly useful for this small step, as they allow children to organise their manipulatives in a structured way.",a demonstration of representing the number of objects using forms of counters for example cubes,False,3,3,1,1QG9QGXFvDU,1QG9QGXFvDU,Representing Teen Numbers - Using Ten Frames and Base Ten Blocks,0.8042,1QG9QGXFvDU,Representing Teen Numbers - Using Ten Frames and Base Ten Blocks,0.7476,False,critical_foci
Year 1_5-6_Autumn__Place value within 10_5_Recognise numbers as words,year-1__5-6__autumn__blank__place-value-within-10__5__recognise-numbers-as-words,5,5,Year 1,5-6,Autumn,,Place value within 10,Recognise numbers as words,critical_foci,"Children should now be confident representing and counting numbers to 10. They can say the numbers to 10 verbally, represent objects and images using counters and cubes, and write the numeral to match. learn to recognise each numeral as a word. At this point, children are not expected to write the words independently. Instead, they use matching activities to help build recognition and confidence.",a demonstration of representing the number of objects using forms of counters for example cubes and as words,False,3,3,1,btB-Y4OODSM,1QG9QGXFvDU,Representing Teen Numbers - Using Ten Frames and Base Ten Blocks,0.6787,8lJIhOXUoZk,Tens and Ones|Tens and Ones Concept For Kindergarden||Concept of Tens and Ones|Place Value in Maths,0.6628,True,critical_foci
Year 1_5-6_Autumn__Place value within 10_6_Count on from any number,year-1__5-6__autumn__blank__place-value-within-10__6__count-on-from-any-number,6,6,Year 1,5-6,Autumn,,Place value within 10,Count on from any number,critical_foci,"count on from any number while staying within 10. For example, they may be given a starting number of 4 and asked to continue “5, 6, 7, 8, 9, 10”. Ten frames and number tracks are useful tools to support children with this concept. When used side by side, they help children to continue to link a representation to the numeral and/or the word. Note that children have not yet been formally introduced to the number line, so using this representation at this stage could be confusing. Being able to count on is an important skill to develop in preparation for addition, where children can start with an amount and count on to get the total.",a demonstration of counting from numbers less than 10 up to 10 for example from 4 to 10 and 8 to 10,False,3,3,1,Bj0aVqYBgXg,XZxMObx6A84,Identifying Teen Numbers - Kindergarten Math With Ten Frames,0.8288,btB-Y4OODSM,Place Value: Ones and Tens,0.6901,True,critical_foci
Year 1_5-6_Autumn__Place value within 10_7_1 more,year-1__5-6__autumn__blank__place-value-within-10__7__1-more,7,7,Year 1,5-6,Autumn,,Place value within 10,1 more,critical_foci,"Once children are confident placing numbers on a track, the language of “1 more” can be introduced. Children need to know that 1 more is the number after, and they should use their counting skills or a number track to help them. Cubes are a useful manipulative to show the concept of “1 more”, as children can link this to the everyday activity of climbing the stairs.","a demonstration of counting on 1 more from a number, for example starting with the number 5 then counting on 1 more to the following number",False,3,3,0,,NZVtJIdLFuU,One More and One Less - Beginning Math for Kids!,0.8058,J8PQNQ2rYFU,Learn Addition and Counting | Mental Math for 1st Grade | Kids Academy,0.7409,True,critical_foci
Year 1_5-6_Autumn__Place value within 10_8_Count backwards within 10,year-1__5-6__autumn__blank__place-value-within-10__8__count-backwards-within-10,8,8,Year 1,5-6,Autumn,,Place value within 10,Count backwards within 10,critical_foci,"learn to count backwards within 10 Children can find counting backwards tricky. The use of songs and rhymes can be particularly useful to help develop this skill. As in the previous steps, it is also useful to use cubes and number tracks to support children. Countdowns are a fun way to reinforce counting backwards, such as a countdown to a rocket launch or a countdown to the start of a race. Being able to count backwards will help children when they begin to learn about subtraction, where one method that they may use is counting back.",the video must include a demonstration of counting backwards or down from 10,False,3,3,2,KIvWfLf3S74 | NZVtJIdLFuU,UynJ1NE-PS0,Counting Forward and Back - Number Line Practice for Kindergarten,0.8224,NZVtJIdLFuU,One More and One Less - Beginning Math for Kids!,0.7764,True,critical_foci
Year 1_5-6_Autumn__Place value within 10_9_1 less,year-1__5-6__autumn__blank__place-value-within-10__9__1-less,9,9,Year 1,5-6,Autumn,,Place value within 10,1 less,critical_foci,"Once children are confident counting backwards and placing numbers on a track, the language of “1 less” can be introduced. need to know that 1 less is the number before and they should use their counting skills or a number track to help them. It is important to make references back to previous learning on finding 1 more, so that children understand that finding 1 less is the opposite of finding 1 more. Cubes are a useful manipulative to show the concept of “1 less”, as children can link this to the everyday activity of walking down the stairs.","a demonstration of counting one less than a number, for example starting with the number 5 then counting one less to the preceeding number",False,3,3,1,NZVtJIdLFuU,NZVtJIdLFuU,One More and One Less - Beginning Math for Kids!,0.855,NZVtJIdLFuU,One More and One Less - Beginning Math for Kids!,0.7765,False,critical_foci
Year 1_5-6_Autumn__Place value within 10_10_Compare groups by matching,year-1__5-6__autumn__blank__place-value-within-10__10__compare-groups-by-matching,10,10,Year 1,5-6,Autumn,,Place value within 10,Compare groups by matching,critical_foci,"match one object with another to compare groups. This is sometimes referred to as one-to-one correspondence, where children check if, for example, there are enough presents for everyone to have one each. Children should be exposed to situations where there are too many, not enough or just the right amount. Children should be encouraged to move physical objects or draw lines between pictorial representations to support them in matching. At this stage, children do not need to know the exact difference between the groups if there is a difference.","a demonstration of comparing the number of items in two groups by pairing or matching each single item in one group with each single item in the other, one at a time, procedurally and exhaustively",False,3,3,2,8lJIhOXUoZk | T5Qf0qSSJFI,8lJIhOXUoZk,Tens and Ones|Tens and Ones Concept For Kindergarden||Concept of Tens and Ones|Place Value in Maths,0.5902,8lJIhOXUoZk,Tens and Ones|Tens and Ones Concept For Kindergarden||Concept of Tens and Ones|Place Value in Maths,0.5665,False,critical_foci
