small_step_id,scenario_label,candidate_ss_wr_desc,status,notes
Year 1_5-6_Autumn__Addition and subtraction within 10_5_Number bonds within 10,combined,find all the pairs or combinations of single digit numbers that add together to make or equal 10,active,critical_foci
Year 1_5-6_Autumn__Place value within 10_1_Sort objects,gui_mvp_approved,"Sort objects into groups based on colour, size or shape. Sorting enables children to consider what is the same about all the objects in one set and how they differ from the objects in other sets. Children need to understand that the same collection of objects can be sorted in different ways and should be encouraged to come up with their own criteria for sorting objects into sets. The concept of sorting can also be reinforced during daily activities.",active,"saved_from_gui_mvp;ratings=10,10,10;top3=kFr-Vy3od7w | Ux_kLd7qAcY | uvM201Kb1ys"
Year 1_5-6_Autumn__Place value within 10_2_Count objects,gui_mvp_approved,"counting 1 -10 how to count in ones / 1's from 1 to 10, counting by 1's 1 to 10 song up to ten, 1,2,3,4,5,6,7,8,9,10, one two three four five six seven eight nine ten",active,"saved_from_gui_mvp;ratings=10,4,4;top3=dLNwGi7Jugw | uAUVbBpuua4 | Ftati8iGQcs"
Year 1_5-6_Autumn__Place value within 10_3_Count objects from a larger group,gui_mvp_approved,pick out or count out a specific number of objects form a larger group or set,active,"saved_from_gui_mvp;ratings=8,2,1;top3=8lJIhOXUoZk | 8mcTsyV56jI | T5Qf0qSSJFI"
Year 1_5-6_Autumn__Place value within 10_4_Represent objects,gui_mvp_approved,use counters to represent the number of a group of objects,active,"saved_from_gui_mvp;ratings=9,7,8;top3=1QG9QGXFvDU | 8lJIhOXUoZk | EjGJHW5sZdg"
Year 1_5-6_Autumn__Place value within 10_5_Recognise numbers as words,gui_mvp_approved,identify written number words up to ten,active,"saved_from_gui_mvp;ratings=8,4,3;top3=ZpFHpJRfQmQ | aor7S0f3f_c | qeAVXeETETI"
"Year 1_5-6_Autumn__Place value within 10_11_Fewer, more, same",gui_mvp_approved,"compare numbers of objects. It is important to ensure that children have clear understanding of new vocabulary such as “fewer”, “more” and “same”. They need to practise using the words in a variety of contexts in the same way that they need to practise working with numbers in a variety of contexts. In particular, the word “fewer” can be tricky, as many adults tend to incorrectly use the word “less” instead. “Fewer” is used when talking about a number of things or objects, whereas “less” is used when talking about values. For example, “There are fewer blue cars than red cars” is correct, not “There are less blue cars than red cars.”",active,"saved_from_gui_mvp;ratings=10,8,6;top3=s-6NyI0t2XE | cnafMNaSwBE | 2njryh7EYm0"
Year 1_5-6_Autumn__Place value within 10_13_Compare numbers,gui_mvp_approved,"compare pairs of numbers within 10 Children can use their knowledge of counting to support them, for example because they would say 6 after 5, they know that 6 is greater than 5. Children can also use their knowledge of representing numbers using objects to help them identify which of a pair of numbers is greater or less than the other. In the previous steps, children were introduced to the language of “greater than”, “less than” and “equal to” alongside the corresponding inequality symbols >, < and =. They use these throughout this step when comparing numbers. It is important that children use all the symbols, in order to reinforce their meaning.",active,"saved_from_gui_mvp;ratings=9,8,9;top3=TiM1RvWMGAg | xvcTLaS6w84 | bg3FTgTmfkE"
Year 1_5-6_Autumn__Addition and subtraction within 10_1_Introduce parts and wholes,gui_mvp_approved,"begin to think about parts and wholes. While this reinforces and reminds children of what they have learned in Reception, they are unlikely to have been formally introduced to the language of “parts” and “whole”. Ensure time is spent identifying the parts and the whole during activities. Allow children to explore and notice different compositions; for example, 5 can be composed of 2 and 3 or 1 and 4 or 1 and 1 and 3. Encourage children to recognise that numbers can be composed of two or more parts. At this stage, children should be given the opportunity to explore this concept through play and physical activities. The part-whole model is introduced in the next step.",active,"saved_from_gui_mvp;ratings=10,10,10;top3=Dyz50pr31Wc | bYRkptZ97c4 | 0peKfCVDf6E"
Year 1_5-6_Autumn__Addition and subtraction within 10_3_Write number sentences,gui_mvp_approved,write addition sentences and learn that the addition symbol (+) can be used to represent combining two or more parts and the equals symbol (=) can be used to show the equivalence between the whole and the sum of the parts.,active,"saved_from_gui_mvp;ratings=10,10,8;top3=BmSc0pDbsxY | 0peKfCVDf6E | E20xO9peF3A"
Year 1_5-6_Autumn__Place value within 10_6_Count on from any number,gui_mvp_approved,"count on from any number while staying within 10. For example, they may be given a starting number of 4 and asked to continue “5, 6, 7, 8, 9, 10”. Ten frames and number tracks are useful tools to support children with this concept. When used side by side, they help children to continue to link a representation to the numeral and/or the word. Note that children have not yet been formally introduced to the number line, so using this representation at this stage could be confusing. Being able to count on is an important skill to develop in preparation for addition, where children can start with an amount and count on to get the total.",active,"saved_from_gui_mvp;ratings=9,10,9;top3=p2W0I06Nq5s | NZVtJIdLFuU | XZxMObx6A84"
