year,term,block,difficulty,topic,sub_topic,small_step_num_in_topic,small_step_name,ss_wr_desc_extracted,source_pdf_path,source_pdf_name,source_pdf_hash,extraction_confidence,match_method,is_duplicate_candidate,needs_manual_review,review_notes,small_step_id,small_step_key,topic_normalized
Year 7,Summer,1,,Time,Speed distance and time,1,"Convert between milliseconds, seconds, minutes and hours","In this small step, students explore how ratio is used to represent multiplicative relationships between two or more values, and they are introduced to the colon in the context of a ratio. Highlight that a ratio is a comparison of two or more parts of a whole. Begin by using sentences, for example “For every 2 squares, there are 3 circles”, before writing this as a formal ratio. Emphasise the importance of the order of the terms within ratio notation. For example, if the ratio of red counters to yellow counters is 3 : 4, the ratio of yellow counters to red counters is 4 : 3. Bar models are a useful representation to emphasise the equal parts of a ratio. As their confidence develops, students can work with ratios that compare three or more quantities, for example 3 : 4 : 1 Misconceptions and common errors • Students may use additive rather than multiplicative relationships to make comparisons, for example “There are two more blue counters than red counters.” • Students may confuse the order of a ratio, for example writing 2 : 5 rather than 5 : 2 Year 8 | Autumn term | Block 1 – Ratio | Step 1 National Curriculum links • Use ratio notation, including reduction to simplest form • Understand that a multiplicative relationship between two quantities can be expressed as a ratio or a fraction Mathematical talk • What is the purpose of ratio? • Why is the order important in ratio notation? • What does a colon mean in the context of ratio? • What ratios are represented? • How are 2 : 1 and 1 : 2 different? • What does 1 : 1 mean? • Can a ratio compare more than two quantities? Explain how you know. • How is a ratio different from a fraction? • For every , there are This can be written as : • In the ratio : , the first number represents and the second number represents Notes and guidance provide an overview of the content of the step, and ideas for teaching, along with advice on progression and where a topic fits within the curriculum. Mathematical talk provides key questions, discussion points and possible sentence stems that can be used to develop students’ mathematical vocabulary and reasoning skills, digging deeper into the content. Misconceptions and common errors are highlighted, as well as areas that may require additional support. National Curriculum links to indicate the objective(s) being addressed by the step.",WR_PDF/Year 7/y7_summer_backfill/WRE Maths v3 Y7 SUM B1 SOL - Speed distance and time .pdf,WRE Maths v3 Y7 SUM B1 SOL - Speed distance and time .pdf,,medium,,False,False,,,,time
Year 7,Summer,1,,Time,Speed distance and time,2,"Convert between hours, days, months and years","In this small step, students convert between different units of time and extend this to fractional amounts of time. Remind students of common facts, such as 1 minute = 60 seconds and 1 2 hour = 30 minutes. Bar models are a useful representation to highlight the calculations necessary to complete conversions. Once students are confident converting between minutes, hours and seconds, explore conversions between seconds and milliseconds, highlighting the fact that 1 second = 1000 milliseconds. Students could be introduced to functions on a calculator to help convert units of time. Misconceptions and common errors • Students may use the wrong operation to complete a conversion, for example multiplying by 60 rather than dividing, or vice versa. • Students may assume that all time conversions involve multiplying or dividing by 60 • Students may misinterpret the hours as decimals, for example 2.25 hours = 2 hours 25 minutes, rather than 2 hours 15 minutes. Year 7 | Summer term | Block 1 – Speed, distance and time | Step 1 National Curriculum links • Use standard units of mass, length, time, money and other measures, including with decimal quantities • Change freely between related standard units [for example, time, length, area, volume/capacity, mass] Mathematical talk • How many minutes are there in 1/2/4.5 hour(s)? • How many hours are there in 90/150 minutes? • Is the same type of calculation used to convert 3 hours to minutes and to convert 3 minutes to seconds? Explain how you know. • Does 1.35 hours equal 1 hour and 35 minutes? Explain how you know. • What is the same and what is different about converting hours to minutes and minutes to seconds? • Which is longer, 2500 milliseconds or 2 seconds? How do you know? • Why might milliseconds be important in a swimming or running race?",WR_PDF/Year 7/y7_summer_backfill/WRE Maths v3 Y7 SUM B1 SOL - Speed distance and time .pdf,WRE Maths v3 Y7 SUM B1 SOL - Speed distance and time .pdf,,medium,,False,False,,,,time
Year 7,Summer,1,,Time,Speed distance and time,3,Solve problems with tables and timetables,"In this small step, students build on the previous step to convert between different units of time. Students may already be familiar with some conversion facts from Key Stage 2, such as 1 day = 24 hours and 1 year = 12 months. As with the previous step, bar models are a useful representation to highlight the calculations necessary to complete the conversions. Students could use conversion facts to solve problems in context, for example working out the daily cost of a project based on the number of hours. Calculators could be used throughout this step to support students and reduce cognitive load. Misconceptions and common errors • Students may use the wrong operation to complete a conversion, for example multiplying by 24 rather than dividing, or vice versa. • Students may assume that all time conversions involve multiplying or dividing by 60 Year 7 | Summer term | Block 1 – Speed, distance and time | Step 2 National Curriculum links • Use standard units of mass, length, time, money and other measures, including with decimal quantities • Change freely between related standard units [for example, time, length, area, volume/capacity, mass] Mathematical talk • How many hours are there in 1 day? • How could you work out the number of hours in 3 days? • How many months are there in 1 year? • How could you work out the number of months in 8 years? • If someone sleeps 8 hours each night, how many hours do they sleep in a week? • Are all months the same length? How does this affect your calculations when working out how many days there are in 3 months? • Are there exactly 365 days in 1 year? Explain how you know. • When might years not be a useful unit to measure time?",WR_PDF/Year 7/y7_summer_backfill/WRE Maths v3 Y7 SUM B1 SOL - Speed distance and time .pdf,WRE Maths v3 Y7 SUM B1 SOL - Speed distance and time .pdf,,medium,,False,False,,,,time
Year 7,Summer,1,,Time,Speed distance and time,4,Solve problems with time and the calendar,"In this small step, students interpret information from tables and timetables. Before introducing timetables, ensure that students can calculate with time, for example working out the elapsed time between 9:55 am and 11:17 am. If appropriate, number lines could be used to model these calculations. Students also interpret information from two-way tables. Once they can interpret tables and timetables, introduce more complex problems, for example calculating the total distance of a multi-part journey using information represented in a table. Misconceptions and common errors • Students may make errors when calculating with time. For example, when finding the difference between 2:25 pm and 5:15 pm, they may find the difference between the hours and minutes separately, getting the answer 3 hours 10 minutes, rather than considering how time passes on a clock. Year 7 | Summer term | Block 1 – Speed, distance and time | Step 3 National Curriculum links • Use standard units of mass, length, time, money and other measures, including with decimal quantities • Construct and interpret appropriate tables, charts, and diagrams, including frequency tables, bar charts, pie charts, and pictograms for categorical data, and vertical line (or bar) charts for ungrouped and grouped numerical data Mathematical talk • What is the total value of each row? • What is the total value of each column? • Describe what each cell in the table represents. • How long will it take to travel from to ? • What is the distance between and ? • Are there any patterns in the table? Describe any patterns you can see. • Which two cells could you compare to find the shortest route/ travel time/distance? • When is a two-way table a useful representation? Explain your answer. • Is there another way to represent the information? Explain your answer.",WR_PDF/Year 7/y7_summer_backfill/WRE Maths v3 Y7 SUM B1 SOL - Speed distance and time .pdf,WRE Maths v3 Y7 SUM B1 SOL - Speed distance and time .pdf,,medium,,False,False,,,,time
Year 7,Summer,1,,Time,Speed distance and time,5,Calculate speed,"In this small step, students explore and interpret calendars. Remind students of key facts, such as which months have 30 or 31 days, which month has 28 or 29 days and approximately how many weeks there are in a year. Encourage efficient strategies for using a calendar, for example counting complete rows or using known facts about weeks and days to work out the time between two dates. Draw attention to how public holidays can affect planning. Presenting problems in everyday contexts, such as planning an event, working out term dates or counting days until a birthday, can help students to see the practical importance of understanding calendars and managing time effectively. Misconceptions and common errors • Some students may assume that all months have the same number of days. • Students may assume that there are exactly 4 weeks in a month. • Students may forget that February can have 28 or 29 days, depending on whether it is a leap year. • Students may be confused over whether to include both the start and end dates. Year 7 | Summer term | Block 1 – Speed, distance and time | Step 4 National Curriculum links • Construct and interpret appropriate tables, charts, and diagrams, including frequency tables, bar charts, pie charts, and pictograms for categorical data, and vertical line (or bar) charts for ungrouped and grouped numerical data Mathematical talk • How many days are there in the month of ? • How many Saturdays are there in the month of this year? • Does every month always have four Mondays? Explain how you know. • How would you work out the date 2 weeks after 27 May? • How would you work out the date 2 weeks after 27 June? • Are there exactly 365 days in a year? Explain how you know. • How could you check whether a year is a leap year? • How could you work out how many school days are left in this term?",WR_PDF/Year 7/y7_summer_backfill/WRE Maths v3 Y7 SUM B1 SOL - Speed distance and time .pdf,WRE Maths v3 Y7 SUM B1 SOL - Speed distance and time .pdf,,medium,,False,False,,,,time
Year 7,Summer,1,,Time,Speed distance and time,6,Calculate time and distance,"In this small step, students explore the relationship between speed, distance and time, with the emphasis on understanding the meaning of speed, rather than using a formula. Highlight the meaning of compound units used to denote speed, for example 40 mph for “40 miles travelled for every hour”, as this emphasises the meaning of “per” and why speed is described as a rate. Representations such as double number lines, bar models and ratio tables can be useful to highlight direct proportional relationships when calculating speed. Discuss why contextual problems use the term “average speed”, rather than “speed”. Misconceptions and common errors • Some students may calculate speed incorrectly, for example dividing time by distance rather than distance by time. • Students may incorrectly convert time into decimals, for example calculating 2 hours 30 minutes as 2.3 instead of 2.5 • Students may forget to convert between units, for example using miles and minutes instead of miles and hours. • Students may forget to state the units or use incorrect units. Year 7 | Summer term | Block 1 – Speed, distance and time | Step 5 National Curriculum links • Use standard units of mass, length, time, money and other measures, including with decimal quantities • Use compound units such as speed, unit pricing and density to solve problems Mathematical talk • If a car travels at 30 mph, how far will it travel in 1 hour? How far will the car travel in 2 hours/30 minutes/10 minutes? • What information do you need to calculate the average speed? • Why is speed known as a compound measure? • Which is faster, 10 km/h or 10 mph? Explain how you know. • If a speed is given in mph, what are the units of the distance and what are the units of the time? • Why is the term “average speed” used instead of just “speed”? • What is the formula to calculate speed? • Explain how to convert 2 hours and 15 minutes into hours.",WR_PDF/Year 7/y7_summer_backfill/WRE Maths v3 Y7 SUM B1 SOL - Speed distance and time .pdf,WRE Maths v3 Y7 SUM B1 SOL - Speed distance and time .pdf,,medium,,False,False,,,,time
Year 7,Summer,1,,Time,Speed distance and time,7,"Solve problems with speed, distance and time","In this small step, students build on their learning on speed, calculating the time taken or the distance travelled. Start by exploring time and distance separately, to develop confidence and to allow opportunities to address misconceptions or common errors that may arise. Visual representations such as bar models, double number lines and ratio tables could be used to explore the relationships between speed, distance and time. Students should work with a range of contexts, where they need to select appropriate strategies and calculations to solve problems accurately and efficiently. Misconceptions and common errors • Students may convert times incorrectly, for example writing 1.3 hours as 1 hour 30 minutes. • Students may incorrectly interpret recurring decimals, for example 2.3˙ hours as 2.3 hours or 2 hours 18 minutes, rather than 2 hours 20 minutes. • Students may forget to state the unit of their answer or use incorrect units. Year 7 | Summer term | Block 1 – Speed, distance and time | Step 6 National Curriculum links • Use standard units of mass, length, time, money and other measures, including with decimal quantities • Use compound units such as speed, unit pricing and density to solve problems Mathematical talk • What does “average speed” mean? • If the speed is given in miles per hour, what are the units of the distance and the units of the time? • Explain how you could write 2.4 hours in hours and minutes. • If the speed of a car remains the same and the distance covered doubles, what effect does this have on the time taken? • If the speed of a car remains the same and the time taken doubles, what effect does this have on the distance covered? • When might a vehicle not travel at a constant speed? How would that affect your calculation? • In what everyday situations might you need to work out average speed?",WR_PDF/Year 7/y7_summer_backfill/WRE Maths v3 Y7 SUM B1 SOL - Speed distance and time .pdf,WRE Maths v3 Y7 SUM B1 SOL - Speed distance and time .pdf,,medium,,False,False,,,,time
Year 7,Summer,1,,Time,Speed distance and time,8,Interpret distance-time graphs,"In this small step, students solve problems involving speed, distance and time, building on and consolidating their understanding from the previous steps. Where appropriate, start with problems that have integer answers to build confidence before exploring more complex problems. Encourage students to focus on understanding the context of a problem by looking at the units given. For example, a speed in mph can be calculated by dividing the number of miles (distance) by the time. Students can also be introduced to formulae, such as speed = distance time , and practise substituting values into the formula. Encourage the use of calculators throughout to support accuracy. Misconceptions and common errors • Students may use an incorrect operation to solve a problem, such as calculating speed ÷ time to work out distance. • Students may incorrectly convert units of time, for example converting 3 hours 15 minutes to 3.15 hours. • Students may assume that time is always in hours when it may be given in minutes or seconds. • Students may forget to convert between units, for example using miles and minutes instead of miles and hours. Year 7 | Summer term | Block 1 – Speed, distance and time | Step 7 National Curriculum links • Use standard units of mass, length, time, money and other measures, including with decimal quantities • Use compound units such as speed, unit pricing and density to solve problems Mathematical talk • How many minutes are there in 1.25 hours? • How many hours and minutes are there in 2.4 hours? • What fraction of an hour is 45 minutes? What is this as a decimal? • What does “constant speed” mean? • If you know the speed and the distance, how can you work out the time taken? • If you know the average speed and time taken, how can you work out the total distance travelled? • If you know the time taken and the distance, how can you work out the average speed?",WR_PDF/Year 7/y7_summer_backfill/WRE Maths v3 Y7 SUM B1 SOL - Speed distance and time .pdf,WRE Maths v3 Y7 SUM B1 SOL - Speed distance and time .pdf,,medium,,False,False,,,,time
Year 7,Summer,1,,Time,Speed distance and time,9,Draw distance-time graphs,"In this small step, students interpret journeys represented on distance–time graphs. Explain that the horizontal axis of a distance–time graph represents time and the vertical axis represents distance. Highlight the key features of distance–time graphs, such as diagonal line segments indicating motion and horizontal line segments representing when an object is stationary. Students should also understand that when a graph begins and ends at the horizontal axis, the journey represented is a return journey. Ensure that distance–time graphs are presented with different scales, for example altering the number of intervals used on the time axis so that 1 unit represents 20 minutes rather than 30 minutes. Misconceptions and common errors • Students may assume that a horizontal line means that an object is moving at a constant speed. • Students may misinterpret the scale of one axis/both axes. • Students may interpret a line segment with a negative gradient as representing a downhill journey. Year 7 | Summer term | Block 1 – Speed, distance and time | Step 8 National Curriculum links • Use compound units such as speed, unit pricing and density to solve problems • Model situations or procedures by translating them into algebraic expressions or formulae and by using graphs • Interpret mathematical relationships both algebraically and graphically Mathematical talk • What does the horizontal axis on a distance–time graph show? • What does a horizontal line segment represent? • Why is it important to include units on both the distance and the time axes? • How do you know when a distance–time graph represents a return journey? • Is the total distance travelled on a distance–time graph always the highest value the graph reaches on the vertical axis? Explain how you know. • What does a diagonal line on a distance–time graph tell you about the speed of a journey? • Which part(s) of the graph show when was moving? • Which part(s) of the graph show when was stationary?",WR_PDF/Year 7/y7_summer_backfill/WRE Maths v3 Y7 SUM B1 SOL - Speed distance and time .pdf,WRE Maths v3 Y7 SUM B1 SOL - Speed distance and time .pdf,,medium,,False,False,,,,time
Year 7,Summer,1,,Time,Speed distance and time,10,Calculate speed from a distance-time graph  E,"In this small step, students build on their understanding from the previous step to draw distance–time graphs. Remind students of the key features of a distance–time graph, such as diagonal line segments indicating motion and horizontal lines representing when an object is stationary. Students may need support to interpret some scales. For example, if a time of 1 hour is split into six equal intervals, each interval represents one-sixth of an hour or 10 minutes. Provide students with partially complete distance–time graphs and ensure that they understand how return journeys and non-return journeys differ on a distance–time graph. Misconceptions and common errors • Students may misinterpret or use inconsistent scales on one axis/both axes. • Students may mix the axes up, putting time on the vertical axis and distance on the horizontal axis. • Students may forget to include a horizontal line segment to represent a rest or break. • Students may only draw the outward journey and not the return journey. Year 7 | Summer term | Block 1 – Speed, distance and time | Step 9 National Curriculum links • Use compound units such as speed, unit pricing and density to solve problems • Model situations or procedures by translating them into algebraic expressions or formulae and by using graphs • Interpret mathematical relationships both algebraically and graphically Mathematical talk • How do you represent moving at a constant speed on a distance–time graph? • How do you represent a stationary part of a journey on a distance–time graph? • Why is it important to use an equal scale on both axes when drawing the graph? • What is the same and what is different about how return journeys and non-return journeys are represented on distance–time graphs? • Is it possible to have a vertical line on a distance–time graph? Explain your answer. • How can you check if the graph that you have drawn matches the journey described in words?",WR_PDF/Year 7/y7_summer_backfill/WRE Maths v3 Y7 SUM B1 SOL - Speed distance and time .pdf,WRE Maths v3 Y7 SUM B1 SOL - Speed distance and time .pdf,,medium,,False,False,,,,time
