year,age,term,difficulty,topic,small_step_num,small_step_num_in_topic,small_step_num_global,small_step,small_step_name,small_step_desc,ss_wr_desc,ss_desc_validated,ss_desc_validated_source,small_step_id,small_step_key,rank,recommendation_num,recommendation_id,video_id,title,video_title,channel,duration,duration_formatted,semantic_score,alignment_score,instruction_score,combined_score,alignment_justification,instruction_justification,run_signature
Year 5,9-10,Spring,,Perimeter and area,1,1,1,Perimeter of rectangles,Perimeter of rectangles,"build on learning from earlier years to find the perimeters of rectangles by measuring the sides and by calculation. Children know that the perimeter is the distance around the outside of a two-dimensional shape. They recap measuring skills and recognise that they need to use a ruler accurately in order to get the correct answer. A common mistake is to measure from the end of the ruler rather than from the zero mark. Children then explore different methods of finding the perimeter, for example adding all four sides separately, adding the length to the width and then doubling, or doubling the length and the width and then adding the results, before deciding which they find most efficient. Children use their understanding of perimeter to calculate missing lengths.","build on learning from earlier years to find the perimeters of rectangles by measuring the sides and by calculation. Children know that the perimeter is the distance around the outside of a two-dimensional shape. They recap measuring skills and recognise that they need to use a ruler accurately in order to get the correct answer. A common mistake is to measure from the end of the ruler rather than from the zero mark. Children then explore different methods of finding the perimeter, for example adding all four sides separately, adding the length to the width and then doubling, or doubling the length and the width and then adding the results, before deciding which they find most efficient. Children use their understanding of perimeter to calculate missing lengths.","build on learning from earlier years to find the perimeters of rectangles by measuring the sides and by calculation. Children know that the perimeter is the distance around the outside of a two-dimensional shape. They recap measuring skills and recognise that they need to use a ruler accurately in order to get the correct answer. A common mistake is to measure from the end of the ruler rather than from the zero mark. Children then explore different methods of finding the perimeter, for example adding all four sides separately, adding the length to the width and then doubling, or doubling the length and the width and then adding the results, before deciding which they find most efficient. Children use their understanding of perimeter to calculate missing lengths.",baseline,Year 5_9-10_Spring__Perimeter and area_1_Perimeter of rectangles,year-5__9-10__spring__blank__perimeter-and-area__1__perimeter-of-rectangles,1,1,Year 5_9-10_Spring__Perimeter and area_1_Perimeter of rectangles_recommendation_1,DwQZNQEtesY,How Do You Calculate the Perimeter of a Rectangle? | KS2 Maths Concept for Kids,How Do You Calculate the Perimeter of a Rectangle? | KS2 Maths Concept for Kids,Twinkl_Educational_Publishing,00:05:52,00:05:52,0.8714,95.0,75.0,0.8568,"The video effectively aligns with the target objective by clearly explaining how to calculate the perimeter of rectangles through measurement and various methods. It emphasizes the importance of accurate measuring skills and provides multiple calculation strategies, which are suitable for the age group of 9-10. The content remains focused on the perimeter of rectangles without drifting into broader topics.","The transcript effectively explains the concept of perimeter and provides multiple methods for calculating it, which is beneficial for learners. However, while it introduces new terms like 'perimeter' and 'rectangle,' it could benefit from clearer definitions and more engaging prompts to maintain student interest. Additionally, the complexity of language is mostly appropriate, but some phrases may be slightly advanced for the target age group.",cb33e2e768571eb1e315a4a2ee5f059ccb971c5c
Year 5,9-10,Spring,,Perimeter and area,1,1,1,Perimeter of rectangles,Perimeter of rectangles,"build on learning from earlier years to find the perimeters of rectangles by measuring the sides and by calculation. Children know that the perimeter is the distance around the outside of a two-dimensional shape. They recap measuring skills and recognise that they need to use a ruler accurately in order to get the correct answer. A common mistake is to measure from the end of the ruler rather than from the zero mark. Children then explore different methods of finding the perimeter, for example adding all four sides separately, adding the length to the width and then doubling, or doubling the length and the width and then adding the results, before deciding which they find most efficient. Children use their understanding of perimeter to calculate missing lengths.","build on learning from earlier years to find the perimeters of rectangles by measuring the sides and by calculation. Children know that the perimeter is the distance around the outside of a two-dimensional shape. They recap measuring skills and recognise that they need to use a ruler accurately in order to get the correct answer. A common mistake is to measure from the end of the ruler rather than from the zero mark. Children then explore different methods of finding the perimeter, for example adding all four sides separately, adding the length to the width and then doubling, or doubling the length and the width and then adding the results, before deciding which they find most efficient. Children use their understanding of perimeter to calculate missing lengths.","build on learning from earlier years to find the perimeters of rectangles by measuring the sides and by calculation. Children know that the perimeter is the distance around the outside of a two-dimensional shape. They recap measuring skills and recognise that they need to use a ruler accurately in order to get the correct answer. A common mistake is to measure from the end of the ruler rather than from the zero mark. Children then explore different methods of finding the perimeter, for example adding all four sides separately, adding the length to the width and then doubling, or doubling the length and the width and then adding the results, before deciding which they find most efficient. Children use their understanding of perimeter to calculate missing lengths.",baseline,Year 5_9-10_Spring__Perimeter and area_1_Perimeter of rectangles,year-5__9-10__spring__blank__perimeter-and-area__1__perimeter-of-rectangles,2,2,Year 5_9-10_Spring__Perimeter and area_1_Perimeter of rectangles_recommendation_2,NJnkVVx-XAk,Perimeter and Area of Rectangles,Perimeter and Area of Rectangles,Miacademy_&_MiaPrep_Learning_Channel,00:09:33,00:09:33,0.862,85.0,85.0,0.8566,"The transcript aligns well with the target objective of finding the perimeter of rectangles, as it includes clear explanations of measuring perimeter, calculating it through various methods, and emphasizes the importance of accurate measurement. However, it also introduces broader concepts such as area and composite shapes, which, while related, may distract from the primary focus on rectangles for learners new to the topic.","The transcript effectively explains the concepts of perimeter and area using clear definitions and relatable examples, such as matching paintings with frames. It maintains a focus on the perimeter of rectangles while introducing related concepts like area and missing side lengths. The language is appropriate for the age group, and the use of prompts for student engagement encourages active participation, though it could benefit from more pictorial examples to enhance understanding.",cb33e2e768571eb1e315a4a2ee5f059ccb971c5c
Year 5,9-10,Spring,,Perimeter and area,1,1,1,Perimeter of rectangles,Perimeter of rectangles,"build on learning from earlier years to find the perimeters of rectangles by measuring the sides and by calculation. Children know that the perimeter is the distance around the outside of a two-dimensional shape. They recap measuring skills and recognise that they need to use a ruler accurately in order to get the correct answer. A common mistake is to measure from the end of the ruler rather than from the zero mark. Children then explore different methods of finding the perimeter, for example adding all four sides separately, adding the length to the width and then doubling, or doubling the length and the width and then adding the results, before deciding which they find most efficient. Children use their understanding of perimeter to calculate missing lengths.","build on learning from earlier years to find the perimeters of rectangles by measuring the sides and by calculation. Children know that the perimeter is the distance around the outside of a two-dimensional shape. They recap measuring skills and recognise that they need to use a ruler accurately in order to get the correct answer. A common mistake is to measure from the end of the ruler rather than from the zero mark. Children then explore different methods of finding the perimeter, for example adding all four sides separately, adding the length to the width and then doubling, or doubling the length and the width and then adding the results, before deciding which they find most efficient. Children use their understanding of perimeter to calculate missing lengths.","build on learning from earlier years to find the perimeters of rectangles by measuring the sides and by calculation. Children know that the perimeter is the distance around the outside of a two-dimensional shape. They recap measuring skills and recognise that they need to use a ruler accurately in order to get the correct answer. A common mistake is to measure from the end of the ruler rather than from the zero mark. Children then explore different methods of finding the perimeter, for example adding all four sides separately, adding the length to the width and then doubling, or doubling the length and the width and then adding the results, before deciding which they find most efficient. Children use their understanding of perimeter to calculate missing lengths.",baseline,Year 5_9-10_Spring__Perimeter and area_1_Perimeter of rectangles,year-5__9-10__spring__blank__perimeter-and-area__1__perimeter-of-rectangles,3,3,Year 5_9-10_Spring__Perimeter and area_1_Perimeter of rectangles_recommendation_3,AAY1bsazcgM,Math Antics - Perimeter,Math Antics - Perimeter,mathantics,00:07:29,00:07:29,0.7659,85.0,85.0,0.8037,"The video effectively introduces the concept of perimeter, specifically for polygons, which aligns well with the target objective of finding the perimeter of rectangles. It covers measuring skills and emphasizes the importance of units, but it could improve by focusing more explicitly on rectangles and the specific methods for calculating their perimeter, as outlined in the curriculum objective.","The transcript effectively explains the concept of perimeter using clear definitions and relatable analogies, such as walking around a shape and unfolding it. It maintains a focus on perimeter throughout, provides step-by-step worked examples, and emphasizes the importance of units. However, the complexity of language could be slightly simplified for younger learners, and some terms may require clearer definitions to avoid confusion.",cb33e2e768571eb1e315a4a2ee5f059ccb971c5c
Year 5,9-10,Spring,,Perimeter and area,2,2,2,Perimeter of rectilinear shapes,Perimeter of rectilinear shapes,"build on their Year 4 learning to calculate the perimeters of rectilinear shapes. A rectilinear shape is a shape that has only straight sides and right angles. This can look like two or more rectangles that have been joined together and is sometimes referred to as a compound shape. Children should be familiar with both terms. When calculating the perimeter of a rectilinear shape, encourage children to mark sides that they have already included in their total, to avoid counting sides more than once. Children may notice the connection between the perimeter of some rectilinear shapes and the rectangle that can be drawn around the shape.","build on their Year 4 learning to calculate the perimeters of rectilinear shapes. A rectilinear shape is a shape that has only straight sides and right angles. This can look like two or more rectangles that have been joined together and is sometimes referred to as a compound shape. Children should be familiar with both terms. When calculating the perimeter of a rectilinear shape, encourage children to mark sides that they have already included in their total, to avoid counting sides more than once. Children may notice the connection between the perimeter of some rectilinear shapes and the rectangle that can be drawn around the shape.","build on their Year 4 learning to calculate the perimeters of rectilinear shapes. A rectilinear shape is a shape that has only straight sides and right angles. This can look like two or more rectangles that have been joined together and is sometimes referred to as a compound shape. Children should be familiar with both terms. When calculating the perimeter of a rectilinear shape, encourage children to mark sides that they have already included in their total, to avoid counting sides more than once. Children may notice the connection between the perimeter of some rectilinear shapes and the rectangle that can be drawn around the shape.",baseline,Year 5_9-10_Spring__Perimeter and area_2_Perimeter of rectilinear shapes,year-5__9-10__spring__blank__perimeter-and-area__2__perimeter-of-rectilinear-shapes,1,1,Year 5_9-10_Spring__Perimeter and area_2_Perimeter of rectilinear shapes_recommendation_1,NJnkVVx-XAk,Perimeter and Area of Rectangles,Perimeter and Area of Rectangles,Miacademy_&_MiaPrep_Learning_Channel,00:09:33,00:09:33,0.7808,85.0,85.0,0.8119,"The video primarily focuses on calculating the perimeter of various shapes, including rectilinear shapes, which aligns well with the target objective. However, it also covers broader concepts such as area and composite shapes, which may slightly detract from the specific focus on rectilinear shapes. Overall, the content is age-appropriate and engaging for learners aged 9-10.","The transcript effectively explains the concept of perimeter and area using clear definitions and relatable examples, such as rectangles and composite shapes. It maintains focus on the core concepts throughout and includes engagement prompts for learners to practice, though it could benefit from more pictographic illustrations to enhance understanding for younger students.",cb33e2e768571eb1e315a4a2ee5f059ccb971c5c
Year 5,9-10,Spring,,Perimeter and area,2,2,2,Perimeter of rectilinear shapes,Perimeter of rectilinear shapes,"build on their Year 4 learning to calculate the perimeters of rectilinear shapes. A rectilinear shape is a shape that has only straight sides and right angles. This can look like two or more rectangles that have been joined together and is sometimes referred to as a compound shape. Children should be familiar with both terms. When calculating the perimeter of a rectilinear shape, encourage children to mark sides that they have already included in their total, to avoid counting sides more than once. Children may notice the connection between the perimeter of some rectilinear shapes and the rectangle that can be drawn around the shape.","build on their Year 4 learning to calculate the perimeters of rectilinear shapes. A rectilinear shape is a shape that has only straight sides and right angles. This can look like two or more rectangles that have been joined together and is sometimes referred to as a compound shape. Children should be familiar with both terms. When calculating the perimeter of a rectilinear shape, encourage children to mark sides that they have already included in their total, to avoid counting sides more than once. Children may notice the connection between the perimeter of some rectilinear shapes and the rectangle that can be drawn around the shape.","build on their Year 4 learning to calculate the perimeters of rectilinear shapes. A rectilinear shape is a shape that has only straight sides and right angles. This can look like two or more rectangles that have been joined together and is sometimes referred to as a compound shape. Children should be familiar with both terms. When calculating the perimeter of a rectilinear shape, encourage children to mark sides that they have already included in their total, to avoid counting sides more than once. Children may notice the connection between the perimeter of some rectilinear shapes and the rectangle that can be drawn around the shape.",baseline,Year 5_9-10_Spring__Perimeter and area_2_Perimeter of rectilinear shapes,year-5__9-10__spring__blank__perimeter-and-area__2__perimeter-of-rectilinear-shapes,2,2,Year 5_9-10_Spring__Perimeter and area_2_Perimeter of rectilinear shapes_recommendation_2,PUnimFre8Nc,How Do You Calculate the Perimeter of Rectilinear Shapes? | KS2 Maths Concept for Kids,How Do You Calculate the Perimeter of Rectilinear Shapes? | KS2 Maths Concept for Kids,Twinkl_Educational_Publishing,00:04:26,00:04:26,0.8236,90.0,70.0,0.808,"The video focuses primarily on calculating the perimeter of rectilinear shapes, which aligns well with the target curriculum objective. It introduces key concepts such as identifying sides, marking them to avoid double counting, and using rectangles to find unknown lengths, all appropriate for the age group. However, it slightly drifts into broader concepts of rectangles and number bonds, which could be streamlined to maintain focus on the perimeter of rectilinear shapes.","The transcript provides a clear explanation of the perimeter of rectilinear shapes, using step-by-step reasoning and examples that are appropriate for the age group. However, the use of the term 'rectal linear' instead of 'rectilinear' could confuse learners, and the language could be simplified further to enhance understanding. Additionally, while there are prompts for student engagement, they could be more interactive to maintain attention.",cb33e2e768571eb1e315a4a2ee5f059ccb971c5c
Year 5,9-10,Spring,,Perimeter and area,2,2,2,Perimeter of rectilinear shapes,Perimeter of rectilinear shapes,"build on their Year 4 learning to calculate the perimeters of rectilinear shapes. A rectilinear shape is a shape that has only straight sides and right angles. This can look like two or more rectangles that have been joined together and is sometimes referred to as a compound shape. Children should be familiar with both terms. When calculating the perimeter of a rectilinear shape, encourage children to mark sides that they have already included in their total, to avoid counting sides more than once. Children may notice the connection between the perimeter of some rectilinear shapes and the rectangle that can be drawn around the shape.","build on their Year 4 learning to calculate the perimeters of rectilinear shapes. A rectilinear shape is a shape that has only straight sides and right angles. This can look like two or more rectangles that have been joined together and is sometimes referred to as a compound shape. Children should be familiar with both terms. When calculating the perimeter of a rectilinear shape, encourage children to mark sides that they have already included in their total, to avoid counting sides more than once. Children may notice the connection between the perimeter of some rectilinear shapes and the rectangle that can be drawn around the shape.","build on their Year 4 learning to calculate the perimeters of rectilinear shapes. A rectilinear shape is a shape that has only straight sides and right angles. This can look like two or more rectangles that have been joined together and is sometimes referred to as a compound shape. Children should be familiar with both terms. When calculating the perimeter of a rectilinear shape, encourage children to mark sides that they have already included in their total, to avoid counting sides more than once. Children may notice the connection between the perimeter of some rectilinear shapes and the rectangle that can be drawn around the shape.",baseline,Year 5_9-10_Spring__Perimeter and area_2_Perimeter of rectilinear shapes,year-5__9-10__spring__blank__perimeter-and-area__2__perimeter-of-rectilinear-shapes,3,3,Year 5_9-10_Spring__Perimeter and area_2_Perimeter of rectilinear shapes_recommendation_3,xPg9FsxRPQc,"Parallelograms, Rectangles, and Squares - Calculating Perimeter and Area","Parallelograms, Rectangles, and Squares - Calculating Perimeter and Area",Miacademy_&_MiaPrep_Learning_Channel,00:10:57,00:10:57,0.79,70.0,85.0,0.787,"The video primarily focuses on calculating the perimeter of parallelograms and rectangles, which aligns with the target objective of teaching perimeter for rectilinear shapes. However, it drifts into broader concepts of area and shapes beyond just rectilinear shapes, which may confuse learners new to the topic. While the content is age-appropriate, the emphasis on parallelograms could detract from the specific focus on rectilinear shapes as outlined in the curriculum objective.","The transcript effectively explains the concept of perimeter for rectilinear shapes through clear definitions and step-by-step examples, which are appropriate for the age group. It maintains focus on the perimeter throughout the video while introducing relevant terms and encouraging student engagement with prompts to pause and think. However, the introduction of area towards the end may distract from the primary objective of understanding perimeter.",cb33e2e768571eb1e315a4a2ee5f059ccb971c5c
Year 5,9-10,Spring,,Perimeter and area,3,3,3,Perimeter of polygons,Perimeter of polygons,"apply their knowledge of perimeter to find the perimeters of polygons and to solve word problems. A polygon is a closed two-dimensional shape with straight sides. The difference between regular and irregular shapes could be a good discussion point during this step. A regular shape is a two-dimensional shape with equal sides and angles, so a square is a regular rectangle. When given the length of one side, children use their knowledge of regular shapes to find the perimeter by multiplying by the number of sides. Children use the perimeter of a shape to find a missing side. Using pictorial representations, such as drawing the shape and adding the known values, will support children when problem solving.","apply their knowledge of perimeter to find the perimeters of polygons and to solve word problems. A polygon is a closed two-dimensional shape with straight sides. The difference between regular and irregular shapes could be a good discussion point during this step. A regular shape is a two-dimensional shape with equal sides and angles, so a square is a regular rectangle. When given the length of one side, children use their knowledge of regular shapes to find the perimeter by multiplying by the number of sides. Children use the perimeter of a shape to find a missing side. Using pictorial representations, such as drawing the shape and adding the known values, will support children when problem solving.","apply their knowledge of perimeter to find the perimeters of polygons and to solve word problems. A polygon is a closed two-dimensional shape with straight sides. The difference between regular and irregular shapes could be a good discussion point during this step. A regular shape is a two-dimensional shape with equal sides and angles, so a square is a regular rectangle. When given the length of one side, children use their knowledge of regular shapes to find the perimeter by multiplying by the number of sides. Children use the perimeter of a shape to find a missing side. Using pictorial representations, such as drawing the shape and adding the known values, will support children when problem solving.",baseline,Year 5_9-10_Spring__Perimeter and area_3_Perimeter of polygons,year-5__9-10__spring__blank__perimeter-and-area__3__perimeter-of-polygons,1,1,Year 5_9-10_Spring__Perimeter and area_3_Perimeter of polygons_recommendation_1,Yl3IPo8kzu0,Perimeter - Working Around Polygons,Perimeter - Working Around Polygons,Miacademy_&_MiaPrep_Learning_Channel,00:09:52,00:09:52,0.8602,95.0,85.0,0.8756,"The transcript content aligns very well with the target objective of finding the perimeters of polygons and solving related word problems. It effectively introduces the concept of perimeter, provides examples, and encourages practice with both calculating perimeters and finding missing side lengths, which is suitable for the age group of 9-10 year olds.","The transcript effectively explains the concept of perimeter and how to find it, using clear language appropriate for 9-10 year olds. It includes step-by-step worked examples and encourages student engagement through prompts to pause and practice. However, the introduction of terms like 'congruent' and 'isosceles' could be simplified or better defined for clarity.",cb33e2e768571eb1e315a4a2ee5f059ccb971c5c
Year 5,9-10,Spring,,Perimeter and area,3,3,3,Perimeter of polygons,Perimeter of polygons,"apply their knowledge of perimeter to find the perimeters of polygons and to solve word problems. A polygon is a closed two-dimensional shape with straight sides. The difference between regular and irregular shapes could be a good discussion point during this step. A regular shape is a two-dimensional shape with equal sides and angles, so a square is a regular rectangle. When given the length of one side, children use their knowledge of regular shapes to find the perimeter by multiplying by the number of sides. Children use the perimeter of a shape to find a missing side. Using pictorial representations, such as drawing the shape and adding the known values, will support children when problem solving.","apply their knowledge of perimeter to find the perimeters of polygons and to solve word problems. A polygon is a closed two-dimensional shape with straight sides. The difference between regular and irregular shapes could be a good discussion point during this step. A regular shape is a two-dimensional shape with equal sides and angles, so a square is a regular rectangle. When given the length of one side, children use their knowledge of regular shapes to find the perimeter by multiplying by the number of sides. Children use the perimeter of a shape to find a missing side. Using pictorial representations, such as drawing the shape and adding the known values, will support children when problem solving.","apply their knowledge of perimeter to find the perimeters of polygons and to solve word problems. A polygon is a closed two-dimensional shape with straight sides. The difference between regular and irregular shapes could be a good discussion point during this step. A regular shape is a two-dimensional shape with equal sides and angles, so a square is a regular rectangle. When given the length of one side, children use their knowledge of regular shapes to find the perimeter by multiplying by the number of sides. Children use the perimeter of a shape to find a missing side. Using pictorial representations, such as drawing the shape and adding the known values, will support children when problem solving.",baseline,Year 5_9-10_Spring__Perimeter and area_3_Perimeter of polygons,year-5__9-10__spring__blank__perimeter-and-area__3__perimeter-of-polygons,2,2,Year 5_9-10_Spring__Perimeter and area_3_Perimeter of polygons_recommendation_2,AAY1bsazcgM,Math Antics - Perimeter,Math Antics - Perimeter,mathantics,00:07:29,00:07:29,0.8389,95.0,85.0,0.8639,"The video effectively teaches the concept of perimeter specifically for polygons, aligning well with the curriculum objective. It covers how to calculate the perimeter of regular and irregular shapes, emphasizes the importance of units, and includes problem-solving strategies for finding missing side lengths, which are all crucial for learners new to the topic.","The transcript effectively explains the concept of perimeter using clear definitions and relatable examples suitable for 9-10 year olds. It maintains focus on the single concept of perimeter throughout, includes worked examples with step-by-step reasoning, and emphasizes the importance of units. However, while it introduces some new terms, it could benefit from more engagement prompts to further involve the learners.",cb33e2e768571eb1e315a4a2ee5f059ccb971c5c
Year 5,9-10,Spring,,Perimeter and area,3,3,3,Perimeter of polygons,Perimeter of polygons,"apply their knowledge of perimeter to find the perimeters of polygons and to solve word problems. A polygon is a closed two-dimensional shape with straight sides. The difference between regular and irregular shapes could be a good discussion point during this step. A regular shape is a two-dimensional shape with equal sides and angles, so a square is a regular rectangle. When given the length of one side, children use their knowledge of regular shapes to find the perimeter by multiplying by the number of sides. Children use the perimeter of a shape to find a missing side. Using pictorial representations, such as drawing the shape and adding the known values, will support children when problem solving.","apply their knowledge of perimeter to find the perimeters of polygons and to solve word problems. A polygon is a closed two-dimensional shape with straight sides. The difference between regular and irregular shapes could be a good discussion point during this step. A regular shape is a two-dimensional shape with equal sides and angles, so a square is a regular rectangle. When given the length of one side, children use their knowledge of regular shapes to find the perimeter by multiplying by the number of sides. Children use the perimeter of a shape to find a missing side. Using pictorial representations, such as drawing the shape and adding the known values, will support children when problem solving.","apply their knowledge of perimeter to find the perimeters of polygons and to solve word problems. A polygon is a closed two-dimensional shape with straight sides. The difference between regular and irregular shapes could be a good discussion point during this step. A regular shape is a two-dimensional shape with equal sides and angles, so a square is a regular rectangle. When given the length of one side, children use their knowledge of regular shapes to find the perimeter by multiplying by the number of sides. Children use the perimeter of a shape to find a missing side. Using pictorial representations, such as drawing the shape and adding the known values, will support children when problem solving.",baseline,Year 5_9-10_Spring__Perimeter and area_3_Perimeter of polygons,year-5__9-10__spring__blank__perimeter-and-area__3__perimeter-of-polygons,3,3,Year 5_9-10_Spring__Perimeter and area_3_Perimeter of polygons_recommendation_3,VLzQ_NFs0Sw,How Do You Find the Perimeter of a Polygon? | KS2 Maths Concept for Kids,How Do You Find the Perimeter of a Polygon? | KS2 Maths Concept for Kids,Twinkl_Educational_Publishing,00:04:55,00:04:55,0.9,90.0,75.0,0.8625,"The video effectively focuses on calculating the perimeter of polygons, which directly aligns with the target curriculum objective. It covers both regular and irregular polygons, demonstrates how to calculate perimeters, and includes problem-solving strategies, making it suitable for 9-10 year olds. However, a slight improvement could be made by emphasizing pictorial representations more explicitly.","The transcript provides a clear explanation of perimeter and polygons, using appropriate language for 9-10 year olds. It includes worked examples and prompts for student engagement, though it could benefit from more pictorial representations to enhance understanding and maintain focus on a single concept throughout.",cb33e2e768571eb1e315a4a2ee5f059ccb971c5c
Year 5,9-10,Spring,,Perimeter and area,4,4,4,Area of rectangles,Area of rectangles,"In Year 4, children learnt that area was the space inside a two-dimensional shape. In this small step, they recap this key concept by making a visual comparison of two shapes without having to work out the area. They then go on to find the areas of shapes by counting squares, and are introduced to the square centimetre (cm2) by counting squares on a centimetre squared grid. Highlight the difference between 1 cm and 1 cm2, to ensure children understand that cm is a measure of length and cm2 is a measure of area. Arrays can help children understand why they can multiply the length by the width to calculate the area of a rectangle, which they can then use to find the area of shapes not drawn on a centimetre squared grid. Children should be made aware that cm2 is not the only unit used to measure area, and other units such as mm2, m2 and km2 are also examples of units of area.","In Year 4, children learnt that area was the space inside a two-dimensional shape. In this small step, they recap this key concept by making a visual comparison of two shapes without having to work out the area. They then go on to find the areas of shapes by counting squares, and are introduced to the square centimetre (cm2) by counting squares on a centimetre squared grid. Highlight the difference between 1 cm and 1 cm2, to ensure children understand that cm is a measure of length and cm2 is a measure of area. Arrays can help children understand why they can multiply the length by the width to calculate the area of a rectangle, which they can then use to find the area of shapes not drawn on a centimetre squared grid. Children should be made aware that cm2 is not the only unit used to measure area, and other units such as mm2, m2 and km2 are also examples of units of area.","In Year 4, children learnt that area was the space inside a two-dimensional shape. In this small step, they recap this key concept by making a visual comparison of two shapes without having to work out the area. They then go on to find the areas of shapes by counting squares, and are introduced to the square centimetre (cm2) by counting squares on a centimetre squared grid. Highlight the difference between 1 cm and 1 cm2, to ensure children understand that cm is a measure of length and cm2 is a measure of area. Arrays can help children understand why they can multiply the length by the width to calculate the area of a rectangle, which they can then use to find the area of shapes not drawn on a centimetre squared grid. Children should be made aware that cm2 is not the only unit used to measure area, and other units such as mm2, m2 and km2 are also examples of units of area.",baseline,Year 5_9-10_Spring__Perimeter and area_4_Area of rectangles,year-5__9-10__spring__blank__perimeter-and-area__4__area-of-rectangles,1,1,Year 5_9-10_Spring__Perimeter and area_4_Area of rectangles_recommendation_1,xCdxURXMdFY,Math Antics - Area,Math Antics - Area,mathantics,00:10:26,00:10:26,0.8404,85.0,85.0,0.8447,"The video effectively introduces the concept of area, explaining it as a 2-dimensional quantity and differentiating between cm and cm², which aligns well with the curriculum objective. However, it also delves into calculating the area of triangles, which may exceed the scope for learners new to the topic of rectangles and area, potentially causing confusion.","The transcript effectively explains the concept of area using clear and relatable analogies, such as the paintbrush analogy for visualizing area. It maintains a focus on the core concepts of area and its calculation throughout, using appropriate language for 9-10-year-olds. However, while it introduces new terms like 'base' and 'height' with definitions, it could benefit from more student engagement prompts to enhance interaction.",cb33e2e768571eb1e315a4a2ee5f059ccb971c5c
